EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
11,Ba Open Water,900,Water,,11,Ba Open Water,Water,11,Open Water,Open Water
12,Ba Snow-Ice,0,Urban-Barren,,12,Ba Snow-Ice,Barren,12,Snow-Ice,Snow-Ice
31,Bab Barren,0,Urban-Barren,,31,Bab Barren,Barren,31,Barren,Barren
32,Bab Quarries-Strip Mines-Gravel Pits,0,Urban-Barren,,32,Bab Quarries-Strip Mines-Gravel Pits,Barren,32,Quarries-Strip Mines-Gravel Pits,Quarries-Strip Mines-Gravel Pits
2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,0,Urban-Barren,,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2002,Sps Mediterranean California Sparsely Vegetated Systems,0,Urban-Barren,,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2003,Sps North Pacific Sparsely Vegetated Systems,0,Urban-Barren,,2003,Sps North Pacific Sparsely Vegetated Systems,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2004,Sps North American Warm Desert Sparsely Vegetated Systems,0,Urban-Barren,,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,0,Urban-Barren,,2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2007,Sps Western Great Plains Sparsely Vegetated Systems,0,Urban-Barren,,2007,Sps Western Great Plains Sparsely Vegetated Systems,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2008,Tr North Pacific Oak Woodland,41,Idaho fescue-bluebunch wheatgrass grassland,,2008,Tr North Pacific Oak Woodland,Tree,629,Western Oak Woodland and Savanna,Hardwood
2009,Tr Northwestern Great Plains Aspen Forest and Parkland,42,Quaking aspen/Engelmann spruce forest,,2009,Tr Northwestern Great Plains Aspen Forest and Parkland,Tree,602,"Aspen Forest, Woodland, and Parkland",Hardwood
2011,Tr Rocky Mountain Aspen Forest and Woodland,42,Quaking aspen/Engelmann spruce forest,,2011,Tr Rocky Mountain Aspen Forest and Woodland,Tree,602,"Aspen Forest, Woodland, and Parkland",Hardwood
2012,Tr Rocky Mountain Bigtooth Maple Ravine Woodland,317,Bigtooth maple forest,,2012,Tr Rocky Mountain Bigtooth Maple Ravine Woodland,Tree,605,Bigtooth Maple Woodland,Hardwood
2013,Tr Western Great Plains Dry Bur Oak Forest and Woodland,154,Bur oak savanna,,2013,Tr Western Great Plains Dry Bur Oak Forest and Woodland,Tree,659,Bur Oak Woodland and Savanna,Hardwood
2014,Tr Central and Southern California Mixed Evergreen Woodland,46,Chamise chaparral shrubland,,2014,Tr Central and Southern California Mixed Evergreen Woodland,Tree,626,California Mixed Evergreen Forest and Woodland,Conifer
2015,Tr California Coastal Redwood Forest,47,Redwood-tanoak forest,,2015,Tr California Coastal Redwood Forest,Tree,634,Redwood Forest and Woodland,Conifer
2016,Tr Colorado Plateau Pinyon-Juniper Woodland,210,Pinyon-Utah juniper forest,,2016,Tr Colorado Plateau Pinyon-Juniper Woodland,Tree,630,Pinyon-Juniper Woodland,Conifer
2017,Tr Columbia Plateau Western Juniper Woodland and Savanna,232,Mesquite savanna,,2017,Tr Columbia Plateau Western Juniper Woodland and Savanna,Tree,620,Juniper Woodland and Savanna,Conifer
2018,Tr East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,52,Douglas-fir-Pacific ponderosa pine/oceanspray forest,,2018,Tr East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Tree,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,Conifer
2019,Tr Great Basin Pinyon-Juniper Woodland,210,Pinyon-Utah juniper forest,,2019,Tr Great Basin Pinyon-Juniper Woodland,Tree,630,Pinyon-Juniper Woodland,Conifer
2020,Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,314,Limber-bristlecone pine forest,,2020,Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tree,621,Limber Pine Woodland,Conifer
2021,Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,24,Pacific ponderosa pine-Douglas-fir forest,,2021,Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tree,645,Western Red-cedar-Western Hemlock Forest,Conifer
2022,Tr Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,24,Pacific ponderosa pine-Douglas-fir forest,,2022,Tr Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Tree,645,Western Red-cedar-Western Hemlock Forest,Conifer
2023,Tr Madrean Encinal,43,Arizona white-gray-Emory oak woodland,,2023,Tr Madrean Encinal,Tree,696,Juniper-Oak,Conifer-Hardwood
2024,Tr Madrean Lower Montane Pine-Oak Forest and Woodland,27,Ponderosa pine-two-needle pinyon-Utah juniper forest,,2024,Tr Madrean Lower Montane Pine-Oak Forest and Woodland,Tree,610,Conifer-Oak Forest and Woodland,Conifer-Hardwood
2025,Tr Madrean Pinyon-Juniper Woodland,210,Pinyon-Utah juniper forest,,2025,Tr Madrean Pinyon-Juniper Woodland,Tree,630,Pinyon-Juniper Woodland,Conifer
