"area","fm_duff","fm_1000hr","can_con_pct","shrub_black_pct","pile_black_pct","fuelbeds","units","ecoregion"
100,80,50,90,80,90,110001,"tons","western"
100,80,50,90,80,90,110002,"tons","western"
100,80,50,90,80,90,110003,"tons","western"
100,80,50,90,80,90,110004,"tons","western"
100,80,50,90,80,90,110005,"tons","western"
100,80,50,90,80,90,110006,"tons","western"
100,80,50,90,80,90,110007,"tons","western"
100,80,50,90,80,90,110008,"tons","western"
100,80,50,90,80,90,110009,"tons","western"
100,80,50,90,80,90,110010,"tons","western"
100,80,50,90,80,90,110011,"tons","western"
100,80,50,90,80,90,110012,"tons","western"
100,80,50,90,80,90,110013,"tons","western"
100,80,50,90,80,90,110014,"tons","western"
100,80,50,90,80,90,110015,"tons","western"
100,80,50,90,80,90,110016,"tons","western"
100,80,50,90,80,90,110017,"tons","western"
100,80,50,90,80,90,110018,"tons","western"
100,80,50,90,80,90,110019,"tons","western"
100,80,50,90,80,90,110020,"tons","western"
100,80,50,90,80,90,110021,"tons","western"
100,80,50,90,80,90,110022,"tons","western"
100,80,50,90,80,90,110023,"tons","western"
100,80,50,90,80,90,110024,"tons","western"
100,80,50,90,80,90,110025,"tons","western"
100,80,50,90,80,90,110026,"tons","western"
100,80,50,90,80,90,110027,"tons","western"
100,80,50,90,80,90,110028,"tons","western"
100,80,50,90,80,90,110029,"tons","western"
100,80,50,90,80,90,110030,"tons","western"
100,80,50,90,80,90,110031,"tons","western"
100,80,50,90,80,90,110032,"tons","western"
100,80,50,90,80,90,110033,"tons","western"
100,80,50,90,80,90,110034,"tons","western"
100,80,50,90,80,90,110035,"tons","western"
100,80,50,90,80,90,110036,"tons","western"
100,80,50,90,80,90,110037,"tons","western"
100,80,50,90,80,90,110038,"tons","western"
100,80,50,90,80,90,110039,"tons","western"
100,80,50,90,80,90,110040,"tons","western"
100,80,50,90,80,90,110041,"tons","western"
100,80,50,90,80,90,110042,"tons","western"
100,80,50,90,80,90,110043,"tons","western"
100,80,50,90,80,90,110044,"tons","western"
100,80,50,90,80,90,110045,"tons","western"
100,80,50,90,80,90,110046,"tons","western"
100,80,50,90,80,90,110047,"tons","western"
100,80,50,90,80,90,110048,"tons","western"
100,80,50,90,80,90,110049,"tons","western"
100,80,50,90,80,90,110050,"tons","western"
100,80,50,90,80,90,110051,"tons","western"
100,80,50,90,80,90,110052,"tons","western"
100,80,50,90,80,90,110053,"tons","western"
100,80,50,90,80,90,110054,"tons","western"
100,80,50,90,80,90,110055,"tons","western"
100,80,50,90,80,90,110056,"tons","western"
100,80,50,90,80,90,110057,"tons","western"
100,80,50,90,80,90,110058,"tons","western"
100,80,50,90,80,90,110059,"tons","western"
100,80,50,90,80,90,110060,"tons","western"
100,80,50,90,80,90,110061,"tons","western"
100,80,50,90,80,90,110062,"tons","western"
100,80,50,90,80,90,110063,"tons","western"
100,80,50,90,80,90,110064,"tons","western"
100,80,50,90,80,90,110065,"tons","western"
100,80,50,90,80,90,110066,"tons","western"
100,80,50,90,80,90,110067,"tons","western"
100,80,50,90,80,90,110068,"tons","western"
100,80,50,90,80,90,110069,"tons","western"
100,80,50,90,80,90,110070,"tons","western"
100,80,50,90,80,90,110071,"tons","western"
100,80,50,90,80,90,110072,"tons","western"
100,80,50,90,80,90,110073,"tons","western"
100,80,50,90,80,90,110074,"tons","western"
100,80,50,90,80,90,110075,"tons","western"
100,80,50,90,80,90,110076,"tons","western"
100,80,50,90,80,90,110077,"tons","western"
100,80,50,90,80,90,110078,"tons","western"
100,80,50,90,80,90,110079,"tons","western"
100,80,50,90,80,90,110080,"tons","western"
100,80,50,90,80,90,110081,"tons","western"
100,80,50,90,80,90,110082,"tons","western"
100,80,50,90,80,90,110083,"tons","western"
100,80,50,90,80,90,110084,"tons","western"
100,80,50,90,80,90,110085,"tons","western"
100,80,50,90,80,90,110086,"tons","western"
100,80,50,90,80,90,110087,"tons","western"
100,80,50,90,80,90,110088,"tons","western"
100,80,50,90,80,90,110089,"tons","western"
100,80,50,90,80,90,110090,"tons","western"
100,80,50,90,80,90,110091,"tons","western"
100,80,50,90,80,90,110092,"tons","western"
100,80,50,90,80,90,110093,"tons","western"
100,80,50,90,80,90,110094,"tons","western"
100,80,50,90,80,90,110095,"tons","western"
100,80,50,90,80,90,110096,"tons","western"
100,80,50,90,80,90,110097,"tons","western"
100,80,50,90,80,90,110098,"tons","western"
100,80,50,90,80,90,110099,"tons","western"
100,80,50,90,80,90,110100,"tons","western"
