"area","fm_duff","fm_1000hr","can_con_pct","shrub_black_pct","pile_black_pct","fuelbeds","units","ecoregion"
100,80,50,90,80,90,9001,"tons","western"
100,80,50,90,80,90,9002,"tons","western"
100,80,50,90,80,90,9003,"tons","western"
100,80,50,90,80,90,9004,"tons","western"
100,80,50,90,80,90,9005,"tons","western"
100,80,50,90,80,90,9006,"tons","western"
100,80,50,90,80,90,9007,"tons","western"
100,80,50,90,80,90,9008,"tons","western"
100,80,50,90,80,90,9009,"tons","western"
100,80,50,90,80,90,9010,"tons","western"
100,80,50,90,80,90,9011,"tons","western"
100,80,50,90,80,90,9012,"tons","western"
100,80,50,90,80,90,9013,"tons","western"
100,80,50,90,80,90,9014,"tons","western"
100,80,50,90,80,90,9015,"tons","western"
100,80,50,90,80,90,9016,"tons","western"
100,80,50,90,80,90,9017,"tons","western"
100,80,50,90,80,90,9018,"tons","western"
100,80,50,90,80,90,9019,"tons","western"
100,80,50,90,80,90,9020,"tons","western"
100,80,50,90,80,90,9021,"tons","western"
100,80,50,90,80,90,9022,"tons","western"
100,80,50,90,80,90,9023,"tons","western"
100,80,50,90,80,90,9024,"tons","western"
100,80,50,90,80,90,9025,"tons","western"
100,80,50,90,80,90,9026,"tons","western"
100,80,50,90,80,90,9027,"tons","western"
100,80,50,90,80,90,9028,"tons","western"
100,80,50,90,80,90,9029,"tons","western"
100,80,50,90,80,90,9030,"tons","western"
100,80,50,90,80,90,9031,"tons","western"
100,80,50,90,80,90,9032,"tons","western"
100,80,50,90,80,90,9033,"tons","western"
100,80,50,90,80,90,9034,"tons","western"
100,80,50,90,80,90,9035,"tons","western"
100,80,50,90,80,90,9036,"tons","western"
100,80,50,90,80,90,9037,"tons","western"
100,80,50,90,80,90,9038,"tons","western"
100,80,50,90,80,90,9039,"tons","western"
100,80,50,90,80,90,9040,"tons","western"
100,80,50,90,80,90,9041,"tons","western"
100,80,50,90,80,90,9042,"tons","western"
100,80,50,90,80,90,9043,"tons","western"
100,80,50,90,80,90,9044,"tons","western"
100,80,50,90,80,90,9045,"tons","western"
100,80,50,90,80,90,9046,"tons","western"
100,80,50,90,80,90,9047,"tons","western"
100,80,50,90,80,90,9048,"tons","western"
100,80,50,90,80,90,9049,"tons","western"
100,80,50,90,80,90,9050,"tons","western"
100,80,50,90,80,90,9051,"tons","western"
100,80,50,90,80,90,9052,"tons","western"
100,80,50,90,80,90,9053,"tons","western"
100,80,50,90,80,90,9054,"tons","western"
100,80,50,90,80,90,9055,"tons","western"
100,80,50,90,80,90,9056,"tons","western"
100,80,50,90,80,90,9057,"tons","western"
100,80,50,90,80,90,9058,"tons","western"
