"X100hr_loading_Mgha","X10hr_loading_Mgha","X10Khr_loading_Mgha","X10KhrR_loading_Mgha","X10KhrS_loading_Mgha","X1hr_loading_Mgha","X1Khr_loading_Mgha","X1KhrR_loading_Mgha","X1KhrS_loading_Mgha","cwd_loading_Mgha","cwd_rotten_loading_Mgha","cwd_sound_loading_Mgha","duff_depth_","duff_loading_Mgha","fwd_loading_Mgha","GT10KhrR_loading_Mgha","GT10KhrS_loading_Mgha","herb_loading_Mgha","herb_percentlive_","lichen_loading_Mgha","litter_depth_","litter_loading_Mgha","moss_loading_Mgha","ms_loading_Mgha","os_loading_Mgha","shrub_loading_Mgha","snag_loading_Mgha","tree_crown_loading_Mgha","tree_loading_Mgha","us_loading_Mgha"
7.3248,2.7328,NA,NA,NA,0.5152,NA,NA,NA,NA,20.944,6.1152,2.38252,25.21344,NA,NA,NA,0.29792,NA,NA,1.17348,5.1744,NA,NA,NA,NA,NA,NA,NA,NA
3.6064,0.7168,NA,NA,NA,0,NA,NA,NA,NA,24.3936,9.6544,0.133712857,1.41504,NA,NA,NA,0.402304,NA,NA,0.065858571,0.2904,NA,NA,NA,NA,NA,NA,NA,NA
5.0624,1.9488,NA,NA,NA,0.672,NA,NA,NA,NA,62.4064,0,1.44653,15.30816,NA,NA,NA,3.140032,NA,NA,0.71247,3.1416,NA,NA,NA,NA,NA,NA,NA,NA
24.0128,3.4496,NA,NA,NA,1.2768,NA,NA,NA,NA,25.76,0,4.42468,46.82496,NA,NA,NA,0.766752,NA,NA,2.17932,9.6096,NA,NA,NA,NA,NA,NA,NA,NA
5.1296,2.2624,NA,NA,NA,0.3808,NA,NA,NA,NA,6.4512,9.4752,0.607785714,6.432,NA,NA,NA,1.736448,NA,NA,0.299357143,1.32,NA,NA,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,0.4256,NA,NA,NA,NA,0,0,1.815253333,19.21024,NA,NA,NA,1.296064,NA,NA,0.89408,3.9424,NA,NA,NA,NA,NA,NA,NA,NA
3.3152,2.7552,NA,NA,NA,0.1344,NA,NA,NA,NA,78.1536,3.2928,0.838744286,8.87616,NA,NA,NA,0.694624,NA,NA,0.413112857,1.8216,NA,NA,NA,NA,NA,NA,NA,NA
10.2144,3.0688,NA,NA,NA,0.3808,NA,NA,NA,NA,12.32,0.672,0.93599,9.90528,NA,NA,NA,0.673568,NA,NA,0.46101,2.0328,NA,NA,NA,NA,NA,NA,NA,NA
6.6528,0.9408,NA,NA,NA,0.9184,NA,NA,NA,NA,7.2352,69.3952,0.737446667,7.80416,NA,NA,NA,1.645504,NA,NA,0.36322,1.6016,NA,NA,NA,NA,NA,NA,NA,NA
2.016,1.4112,NA,NA,NA,0.224,NA,NA,NA,NA,0,82.5888,0.072934286,0.77184,NA,NA,NA,0.311808,NA,NA,0.035922857,0.1584,NA,NA,NA,NA,NA,NA,NA,NA
0,0.56,NA,NA,NA,0.0896,NA,NA,NA,NA,5.824,0,0.311996667,3.30176,NA,NA,NA,1.147328,NA,NA,0.15367,0.6776,NA,NA,NA,NA,NA,NA,NA,NA
0,1.3888,NA,NA,NA,0.1344,NA,NA,NA,NA,2.2848,0,0.652356667,6.90368,NA,NA,NA,0.975296,NA,NA,0.32131,1.4168,NA,NA,NA,NA,NA,NA,NA,NA
0,0.224,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0.351008,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
0,0.2912,NA,NA,NA,0.0448,NA,NA,NA,NA,0.3584,0,0.121557143,1.2864,NA,NA,NA,0.442624,NA,NA,0.059871429,0.264,NA,NA,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0.374752,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1.904,1.0752,NA,NA,NA,0.1344,NA,NA,NA,NA,65.408,1.7024,1.27635,13.5072,NA,NA,NA,1.902656,NA,NA,0.62865,2.772,NA,NA,NA,NA,NA,NA,NA,NA
4.4128,0.2016,NA,NA,NA,0,NA,NA,NA,NA,37.0272,0,0.194491429,2.05824,NA,NA,NA,1.248576,NA,NA,0.095794286,0.4224,NA,NA,NA,NA,NA,NA,NA,NA
1.3664,3.9872,NA,NA,NA,0.5824,NA,NA,NA,NA,3.4048,0,0.901954,9.545088,NA,NA,NA,0.090272,NA,NA,0.444246,1.95888,NA,NA,NA,NA,NA,NA,NA,NA
9.6992,0.7168,NA,NA,NA,0.672,NA,NA,NA,NA,43.2768,0,1.3401675,14.18256,NA,NA,NA,1.2432,NA,NA,0.6600825,2.9106,NA,NA,NA,NA,NA,NA,NA,NA
1.2096,1.1424,NA,NA,NA,0.2688,NA,NA,NA,NA,5.9808,0,0.056726667,0.60032,NA,NA,NA,0.616224,NA,NA,0.02794,0.1232,NA,NA,NA,9.6138,NA,NA,NA,NA
0,0.6944,NA,NA,NA,0.2688,NA,NA,NA,NA,1.344,0,4.906856667,51.92768,NA,NA,NA,1.7528,NA,NA,2.41681,10.6568,NA,NA,NA,12.13632,NA,NA,NA,NA
4.3904,0.448,NA,NA,NA,0.224,NA,NA,NA,NA,0,0.6272,0.964353333,10.20544,NA,NA,NA,4.335968,NA,NA,0.47498,2.0944,NA,NA,NA,9.059904,NA,NA,NA,NA
3.2704,0.448,NA,NA,NA,0.2464,NA,NA,NA,NA,0,0.6272,3.99923,42.32256,NA,NA,NA,2.238432,NA,NA,1.96977,8.6856,NA,NA,NA,11.755296,NA,NA,NA,NA
15.7024,1.9936,NA,NA,NA,1.9936,NA,NA,NA,NA,0.9632,1.2992,13.67112667,144.67712,NA,NA,NA,0.597184,NA,NA,6.73354,29.6912,NA,NA,NA,NA,NA,NA,NA,NA
1.12,0,NA,NA,NA,0,NA,NA,NA,NA,40.2752,0,0.992716628,10.50559959,NA,NA,NA,0.306432,NA,NA,0.48895,2.156,NA,NA,NA,0.324576,NA,NA,NA,NA
0,0.224,NA,NA,NA,0.044799999,NA,NA,NA,NA,0.4704,0,0.850900009,9.004800091,NA,NA,NA,0.079296,NA,NA,0.4191,1.848,NA,NA,NA,0.649152,NA,NA,NA,NA
0,0.0896,NA,0,0,0.0896,NA,0,0,0,0,0,NA,NA,0.1792,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,NA,0,0,0.2016,NA,0,0,0,0,0,NA,NA,0.2016,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.4128,0,NA,0,0,0,NA,2.5536,1.12,3.6736,2.5536,1.12,NA,NA,4.4128,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.6064,0.7168,NA,0,9.6544,0,NA,1.4336,0,34.048,24.3936,9.6544,NA,NA,4.3456,22.96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.3296,1.5904,NA,11.1776,0,0.1568,NA,8.624,0,19.8016,19.8016,0,NA,NA,4.0768,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.072,3.248,NA,12.6784,3.0016,0.3136,NA,11.312,0,43.0528,40.0512,3.0016,NA,NA,12.6336,16.0608,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.9184,NA,0,0,1.1872,NA,0,0,0,0,0,NA,NA,2.1056,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1.7248,NA,0,0,0.2912,NA,0,0,0,0,0,NA,NA,2.016,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.1168,0.9632,NA,31.0016,0,0.4032,NA,8.2432,3.472,42.7168,39.2448,3.472,NA,NA,10.4608,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.4944,0.7616,NA,0,26.4096,NA,NA,0,9.4304,35.84,0,35.84,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.9952,2.6208,NA,0,3.3152,NA,NA,0,4.2112,7.5264,0,7.5264,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.7232,3.584,NA,0,84.336,NA,NA,0,13.3056,270.1664,0,270.1664,NA,NA,NA,0,172.5248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.3472,5.4432,NA,0,13.6192,NA,NA,0,8.4672,50.3776,0,50.3776,NA,NA,NA,0,28.3136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.248,0.9856,NA,0,0,NA,NA,0,21.616,21.616,0,21.616,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.1168,1.232,NA,0,4.3904,NA,NA,0,18.9504,23.3408,0,23.3408,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.7504,1.456,NA,8.6016,21.9296,NA,NA,0,12.1856,42.7168,8.6016,34.1152,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.024,2.1952,NA,0,0,NA,NA,0,5.376,5.376,0,5.376,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18.9056,0.896,NA,0,19.6,NA,NA,0,27.104,46.6816,0,46.6816,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.7376,11.7824,NA,0,77.6832,NA,NA,0,9.6992,87.3824,0,87.3824,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.352,3.472,NA,0,0,NA,NA,0,4.1888,4.1888,0,4.1888,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.912,1.8368,NA,0,3.696,NA,NA,0,12.1632,15.8592,0,15.8592,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.592,0.7616,NA,0,4.0768,NA,NA,0,7.8624,11.9392,0,11.9392,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.3984,0.6048,NA,0,51.9008,NA,NA,0,9.1168,61.0176,0,61.0176,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.456,1.6576,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.024,0.4704,NA,0,4.7712,NA,NA,0,0.5824,5.3536,0,5.3536,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,5.044640432,NA,NA,NA,NA,NA,NA,NA,NA
3.695474859,2.844825786,NA,NA,NA,0.525917187,NA,NA,NA,3.379649393,3.379649393,0,NA,NA,7.066217833,NA,NA,0.004869175,NA,NA,NA,4.19966316,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,52.00607788,49.79296021,2.213119946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,126.1411194,67.77344116,58.36767822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4.979520111,4.979520111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,60.99519897,24.89536072,36.09983826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4.979520111,4.979520111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4.979520111,0,4.979520111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,4.979520111,0,4.979520111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,17.27040009,12.29759949,4.972800064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3056012,55.3056012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,44.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,104.6976038,104.6976038,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA
