Consume,JFSP Fuels Database,DataBaseInR,FOFEM,graphLabelNoUnits
fuelbed_number,NA,NA,Stand,NA
filename,NA,NA,NA,NA
cover_type,NA,NA,NA,NA
ecoregion,NA,NA,NA,NA
overstory_loading,os_loading,os_loading_Mgha,NA,Overstory
midstory_loading,ms_loading,ms_loading_Mgha,NA,Midstory
understory_loading,us_loading,us_loading_Mgha,NA,Understory
NA,tree_loading,tree_loading_Mgha,NA,Tree
snags_c1_foliage_loading,snag_loading,snag_loading_Mgha,NA,Snag
snags_c1wo_foliage_loading,NA,NA,NA,NA
snags_c1_wood_loading,NA,NA,NA,NA
snags_c2_loading,NA,NA,NA,NA
snags_c3_loading,NA,NA,NA,NA
shrubs_primary_loading,shrub_loading,shrub_loading_Mgha,Shrub,Shrub
shrubs_secondary_loading,NA,NA,NA,NA
shrubs_primary_perc_live,NA,NA,NA,NA
shrubs_secondary_perc_live,NA,NA,NA,NA
nw_primary_loading,herb_loading,herb_loading_Mgha,Herb,Herb
nw_secondary_loading,NA,NA,NA,NA
nw_primary_perc_live,herb_percentlive,herb_percentlive,NA,Herb Percent Live
nw_secondary_perc_live,NA,NA,NA,NA
litter_depth,litter_depth,litter_depth_cm,NA,Litter Depth (cm)
litter_loading,litter_loading,litter_loading_Mgha,Litter_tpa,Litter
lichen_depth,NA,NA,NA,NA
lichen_loading,lichen_loading,lichen_loading_Mgha,NA,Lichen
moss_depth,NA,NA,NA,NA
moss_loading,moss_loading,moss_loading_Mgha,NA,Moss
basal_accum_loading,NA,NA,NA,NA
squirrel_midden_loading,NA,NA,NA,NA
ladderfuels_loading,NA,NA,NA,NA
duff_upper_loading,duff_loading,duff_loading_Mgha,Duff_tpa,Duff
duff_lower_loading,NA,NA,NA,NA
duff_upper_depth,duff_depth,duff_depth_cm,DuffDepth,Duff Depth (cm)
duff_lower_depth,NA,NA,NA,NA
w_sound_0_quarter_loading,1hr_loading,X1hr_loading_Mgha,X1hr,1-hr
w_sound_quarter_1_loading,10hr_loading,X10hr_loading_Mgha,X10hr,10-hr
w_sound_1_3_loading,100hr_loading,X100hr_loading_Mgha,X100hr,100-hr
w_sound_3_9_loading,1KhrS_loading,X1000hrS_loading_Mgha,X3S,S 1000-hr
w_sound_9_20_loading,10KhrS_loading,X10KhrS_loading_Mgha,X9S,S 10K-hr
w_sound_gt20_loading,GT10KhrS_loading,GT10KhrS_loading_Mgha,X20S,S >10K-hr
w_rotten_3_9_loading,1KhrR_loading,X1000hrR_loading_Mgha,X3R,R 1000-hr
w_rotten_9_20_loading,10KhrR_loading,X10KhrR_loading_Mgha,X9R,R 10K-hr
w_rotten_gt20_loading,GT10KhrR_loading,GT10KhrR_loading_Mgha,X20R,R >10K-hr
w_stump_sound_loading,NA,NA,NA,NA
w_stump_rotten_loading,NA,NA,NA,NA
w_stump_lightered_loading,NA,NA,NA,NA
pile_clean_loading,NA,NA,NA,NA
pile_dirty_loading,NA,NA,NA,NA
pile_vdirty_loading,NA,NA,NA,NA
Total_available_fuel_loading,NA,NA,NA,NA
efg_natural,NA,NA,NA,NA
efg_activity,NA,NA,NA,NA
NA,NA,NA,X10FM,NA
NA,NA,NA,X1000FM,NA
NA,NA,NA,Distribution,NA
NA,NA,NA,DuffFM,NA
NA,NA,NA,Foliage,NA
NA,NA,NA,Branch,NA
NA,NA,NA,XBurn,NA
NA,NA,NA,Region,NA
NA,NA,NA,Group,NA
NA,NA,NA,Season,NA
NA,NA,NA,Category,NA
NA,NA,cwd_loading_Mgha,NA,CWD
NA,NA,X10Khr_loading_Mgha,NA,10K-hr
NA,NA,X1000hr_loading_Mgha,NA,1000-hr
NA,NA,fwd_loading_Mgha,NA,FWD
w_sound_9_20_loading,NA,cwd_sound_loading_Mgha,X9S,S CWD
w_rotten_9_20_loading,NA,cwd_rotten_loading_Mgha,X9R,R CWD
