GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=07/18/2016
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
9001,sobolSamplefb,66,230,0.269527,0.16335,0,2.21685224256572,0,0,0,0,5.1810929753352,0.694117,80,80,0.639650944329333,0.05,80,80,0.149499049931765,1.04085615568422,5.06024245193228,1.47032837039372,0.1,0,0.570779275470413,0,0,0,0,0,4.05224843250588,17.930116522829,0,0,0,0,0,0,0,0,0,3.71526824171189,15.1605477410741,0,0,0,5.528644,11,11
9002,sobolSamplefb,66,230,0.269527,0.16335,0,1.05615786045185,0,0,0,0,4.29299939932767,0.694117,80,80,0.113625394064002,0.05,80,80,0.0975474524497986,0.286767272726633,2.63175819279626,1.9308575831647,0.1,0,0.247176327537745,0,0,0,0,0,5.76451080569066,21.7860228530178,0,0,0,0,0,0,0,0,0,4.67251383347111,24.9086355083669,0,0,0,5.528644,11,11
9003,sobolSamplefb,66,230,0.269527,0.16335,0,4.86461837137864,0,0,0,0,2.84673448133282,0.694117,80,80,1.04507249436574,0.05,80,80,0.259713795036077,1.43105569150485,5.88665243432857,1.27272321870644,0.1,0,0.210305094257928,0,0,0,0,0,2.27410618740134,15.798111890424,0,0,0,0,0,0,0,0,0,2.42546179702086,3.16924917625263,0,0,0,5.528644,11,11
9004,sobolSamplefb,66,230,0.269527,0.16335,0,4.00725541747176,0,0,0,0,4.38790877197869,0.694117,80,80,0.901228587480728,0.05,80,80,0.0472067314386368,1.55003230148647,0.0705906325951219,0.755365642193239,0.1,0,0.349639454176649,0,0,0,0,0,3.27326798675582,6.7128513919469,0,0,0,0,0,0,0,0,0,3.3792504932275,27.6647920456203,0,0,0,5.528644,11,11
9005,sobolSamplefb,66,230,0.269527,0.16335,0,1.38380326565867,0,0,0,0,4.7709491734812,0.694117,80,80,0.36953007504344,0.05,80,80,0.0642055221647024,0.29176873019524,6.84392860734835,3.80553238262981,0.1,0,0.217346137152053,0,0,0,0,0,1.8089825661853,15.2724325465318,0,0,0,0,0,0,0,0,0,4.51682056548214,19.4951269238815,0,0,0,5.528644,11,11
9006,sobolSamplefb,66,230,0.269527,0.16335,0,2.66318675304996,0,0,0,0,3.67445119187236,0.694117,80,80,0.339358612359501,0.05,80,80,0.244268138408661,2.48838423528057,1.13457051306963,3.29992613132996,0.1,0,0.113307605735026,0,0,0,0,0,5.87973148829304,22.0236938615376,0,0,0,0,0,0,0,0,0,2.58677671123017,18.3512583241286,0,0,0,5.528644,11,11
9007,sobolSamplefb,66,230,0.269527,0.16335,0,0.0722670159488917,0,0,0,0,1.54867550535593,0.694117,80,80,0.104406588873826,0.05,80,80,0.0353957606106997,0.448122918167152,8.42112380194478,0.462524518607184,0.1,0,0.791010984811,0,0,0,0,0,5.92848610154353,17.0739542372571,0,0,0,0,0,0,0,0,0,2.69585456798691,7.23730161932297,0,0,0,5.528644,11,11
9008,sobolSamplefb,66,230,0.269527,0.16335,0,0.168592445710209,0,0,0,0,2.65748848156538,0.694117,80,80,0.416532651521266,0.05,80,80,0.133221377655864,0.968301796630027,4.08022313308902,0.045657070487272,0.1,0,0.792841824302449,0,0,0,0,0,3.65675969995558,21.1503478052607,0,0,0,0,0,0,0,0,0,2.52514414537,11.4693149227928,0,0,0,5.528644,11,11
9009,sobolSamplefb,66,230,0.269527,0.16335,0,3.85687037683745,0,0,0,0,2.17699771252461,0.694117,80,80,0.255453594855499,0.05,80,80,0.148704210668802,1.46750388562493,3.6451918934565,4.55877629185049,0.1,0,0.680763367833569,0,0,0,0,0,4.25363323019817,8.85510243389755,0,0,0,0,0,0,0,0,0,5.0137565258164,8.28142429384869,0,0,0,5.528644,11,11
9010,sobolSamplefb,66,230,0.269527,0.16335,0,4.84559106029012,0,0,0,0,1.86826211791951,0.694117,80,80,0.974887653370388,0.05,80,80,0.211285850480199,1.18901765688323,1.45321929587983,3.34432546932716,0.1,0,0.0580395463109016,0,0,0,0,0,1.4399227733165,22.7179619657621,0,0,0,0,0,0,0,0,0,3.85180142178852,13.9040402885154,0,0,0,5.528644,11,11
9011,sobolSamplefb,66,230,0.269527,0.16335,0,1.0904002219257,0,0,0,0,3.53238596454263,0.694117,80,80,0.0668834596406668,0.05,80,80,0.13480079755187,1.46367148779799,7.61054469996132,2.7172612734274,0.1,0,0.741744206855073,0,0,0,0,0,3.48872357730754,5.81981216285378,0,0,0,0,0,0,0,0,0,2.88896539135696,28.1181065308442,0,0,0,5.528644,11,11
