GeneratorName=FCCS   3.0,GeneratorVersion=3.0.0,DateCreated=07/18/2016
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
110001,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.528260925046251,0,95,0,0.285482293239177,0,95,0,0.113219972950326,0.551806427726849,1.94851600771676,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.54018713884127,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110002,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.0202838075168155,0,95,0,0.140932765161618,0,95,0,0.0750599460528414,0.514251418564718,1.7681412812405,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.0686172722896,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110003,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.25129342425478,0,95,0,0.329136578530383,0,95,0,0.130809018775086,1.48844616824079,1.32501113190594,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.04328693616214,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110004,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.638188005299254,0,95,0,0.297781715205727,0,95,0,0.0819334552985587,0.107879438394127,0.387291494479557,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.54282447126509,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110005,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.133481228993935,0,95,0,0.0333597691646762,0,95,0,0.0861110810316927,1.42983469158402,1.69726266293314,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.33797550455531,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110006,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,1.12212981929677,0,95,0,0.318715916911621,0,95,0,0,0.177118023855715,0.596668813332133,1,5,0,0.5,1,0,0.261241,0.020033,0,1,0,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110007,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.603613098158514,0,95,0,0.29130804394458,0,95,0,0.0215296227395859,0.218803918948808,0.766839974952992,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.95330824046004,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110008,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.196580638779187,0,95,0,0.327977812338237,0,95,0,0.111433023796746,0.278094255173663,0.772163248526973,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.91121549437145,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110009,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0,0,95,0,0.17566175079935,0,95,0,0.193425064096034,1.9638864779387,1.58104595427279,1,5,0,0.5,1,0,0.261241,0.020033,0,1,1.96411037154752,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110010,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0,0,95,0,0.361751718920934,0,95,0,0.00366842000651605,0.22089412596416,0,1,5,0,0.5,1,0,0.261241,0.020033,0,1,3.19806999766921,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110011,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0,0,95,0,0.125934586048306,0,95,0,0.125353236239153,1.28996967930767,6.02364391035351,1,5,0,0.5,1,0,0.261241,0.020033,0,1,3.67765441404433,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110012,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.430013653796931,0,95,0,0.083243111407093,0,95,0,0.0376131270675208,0.805767234281637,1.46653434890424,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.44982726341211,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110013,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.38273978188234,0,95,0,0.104760011784237,0,95,0,0.0740315130234227,0.512005337635898,0.743761616314775,1,5,0,0.5,1,0,0.261241,0.020033,0,1,1.27777535105064,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110014,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.261357255421643,0,95,0,0.131141243137373,0,95,0,0.0314584097435007,0.0708134063784138,1.90066423715647,1,5,0,0.5,1,0,0.261241,0.020033,0,1,1.56773093681493,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110015,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.296906698977634,0,95,0,0.239328051960766,0,95,0,0.0874367166026444,0.27394389405529,0,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.90171891619026,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110016,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,1.43666044475009,0,95,0,0.0408074004553719,0,95,0,0.16358883042382,1.38190191090315,3.9626121898492,1,5,0,0.5,1,0,0.261241,0.020033,0,1,3.97890533221897,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110017,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.381333944821629,0,95,0,0.123514899060798,0,95,0,0.00998583518874143,0,0,1,5,0,0.5,1,0,0.261241,0.020033,0,1,3.65266887198687,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110018,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0,0,95,0,0.025153620073853,0,95,0,0.0155311037122911,0,1.29759825304096,1,5,0,0.5,1,0,0.261241,0.020033,0,1,8.13465873869153,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110019,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,3.40311064665161,0,95,0,0.531782996245812,0,95,0,0.108024706950868,0.518423546849467,2.22513057882371,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.77806771989909,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110020,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.560605411773537,0,95,0,0.182891736778219,0,95,0,0.0827482094366686,0.95899527935701,2.24655646559763,1,5,0,0.5,1,0,0.261241,0.020033,0,1,6.13191048197714,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110021,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.156652200273225,0,95,0,0.649936376418883,0,95,0,0.0327998174724554,0.482675127810232,1.46510403044568,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.5458921403599,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110022,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,1.49879266153535,0,95,0,0.0529277472651929,0,95,0,0.101574897299043,0.216106664741229,0.355853599928564,1,5,0,0.5,1,0,0.261241,0.020033,0,1,8.14598278704215,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110023,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.222780991332389,0,95,0,0.471294168289473,0,95,0,0.0382459191391766,0.626947013681909,4.19124513144421,1,5,0,0.5,1,0,0.261241,0.020033,0,1,0.91409597162719,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110024,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.221028391858923,0,95,0,0.605010689865324,0,95,0,0.0206281440779541,0,0,1,5,0,0.5,1,0,0.261241,0.020033,0,1,5.63040870032901,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110025,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.0869054150767254,0,95,0,0.22582757246223,0,95,0,0.0421862409146688,1.21344142958073,9.0397269891635,1,5,0,0.5,1,0,0.261241,0.020033,0,1,7.40662095823973,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110026,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,1.1714317852323,0,95,0,0.189587577940376,0,95,0,0.135314035846118,0.780721504588739,1.0706292574661,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.36660850519827,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110027,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.409172718026455,0,95,0,0.119568770049322,0,95,0,0.0165610873613235,0.0341789670555251,0,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.0119227273467,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110028,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.938504332900609,0,95,0,0.375084346316744,0,95,0,0.198091251095234,0.759890654560434,2.80989746162057,1,5,0,0.5,1,0,0.261241,0.020033,0,1,10.2333048655369,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110029,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.0657153962344095,0,95,0,0.101148312906659,0,95,0,0.0303299792017649,1.22311028082108,2.22798751198549,1,5,0,0.5,1,0,0.261241,0.020033,0,1,1.02654384701479,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110030,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.993584338457657,0,95,0,0.133194368716433,0,95,0,0.0963044106365429,0.281925996042543,1.3837522581042,1,5,0,0.5,1,0,0.261241,0.020033,0,1,13.9996886887198,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110031,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.431542596386495,0,95,0,0.0349640296671748,0,95,0,0.00662872657022548,0.250507393673453,1.02699827790705,1,5,0,0.5,1,0,0.261241,0.020033,0,1,0.661961955616982,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110032,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.284147050994484,0,95,0,0.104397452740934,0,95,0,0.0460554290821284,0.250323996901879,2.16826208623913,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.15545284130604,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110033,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.350778841630401,0,95,0,0.147608613196573,0,95,0,0.0152759801607416,0.477734882059337,2.8567985882031,1,5,0,0.5,1,0,0.261241,0.020033,0,1,3.49684368313423,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110034,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.969996525721264,0,95,0,0.272026782465535,0,95,0,0.0305997935426352,0.668911286690067,0.98951457779236,1,5,0,0.5,1,0,0.261241,0.020033,0,1,5.72436245942483,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110035,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0,0,95,0,0.0950741640473073,0,95,0,0.0235201984273907,0.376857322294426,2.79979258929725,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.53941352572402,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110036,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0,0,95,0,0.0843664922524301,0,95,0,0.057930226535361,0.304556392895021,1.75993758200358,1,5,0,0.5,1,0,0.261241,0.020033,0,1,3.67836916640583,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110037,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.581055527867226,0,95,0,0.515934194926855,0,95,0,0.0391464848264658,1.8835907076967,6.24392084765406,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.03740009860435,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110038,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.910206775616087,0,95,0,0.223258843667176,0,95,0,0.111669625319949,1.05959821623866,1.687709420556,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.52638449371914,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110039,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.127165628013083,0,95,0,0.186538829682176,0,95,0,0.022158867945657,0.635753300999565,2.09523847647555,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.01102692613533,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110040,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0,0,95,0,0.293827829675578,0,95,0,0.0866365898359353,1.12835352209194,3.27146809569842,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.15257807961978,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110041,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.426065717681728,0,95,0,0.331112689885823,0,95,0,0.0812608849339639,0.605186097878989,5.04989103187266,1,5,0,0.5,1,0,0.261241,0.020033,0,1,13.8298964310141,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110042,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.208649257316037,0,95,0,0,0,95,0,0.060256578862828,0.288611475368261,1.56441155870466,1,5,0,0.5,1,0,0.261241,0.020033,0,1,7.81292446122468,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110043,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0,0,95,0,0.112765710775551,0,95,0,0.0249435074057169,1.10496381377701,3.55550989787891,1,5,0,0.5,1,0,0.261241,0.020033,0,1,5.03347435835549,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110044,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.158831297694004,0,95,0,0.163721185860481,0,95,0,0.0877274040572102,0.479114777626786,2.60481081200368,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.16269253029642,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110045,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.281283832191345,0,95,0,0.182356129190045,0,95,0,0.0200760538406731,0.114553975309673,0.967807067822814,1,5,0,0.5,1,0,0.261241,0.020033,0,1,3.23238300674386,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110046,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.800292243492103,0,95,0,0.0802417538110498,0,95,0,0.0495533038961774,0.18303625419172,1.28928548810825,1,5,0,0.5,1,0,0.261241,0.020033,0,1,6.07908805356962,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110047,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.495632074844953,0,95,0,0.298111357687662,0,95,0,0.0274602869681207,0.134755814831015,3.05094983698307,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.0472500364608,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110048,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.606359989996134,0,95,0,0.111760630699261,0,95,0,0.040006249311637,0.391842908185756,4.50705307174634,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.81317947262229,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110049,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.764692902951445,0,95,0,0.0695724043335878,0,95,0,0.040687756561559,0.259580700507658,0.716373899415229,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.10673302023433,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110050,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.249796879809639,0,95,0,0.128343317625779,0,95,0,0.0663779838883519,0.775362247389355,1.89652463644222,1,5,0,0.5,1,0,0.261241,0.020033,0,1,7.49541905511448,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110051,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0,0,95,0,0.313339432749394,0,95,0,0.0558158675435523,0.7547046035976,0.802968692355681,1,5,0,0.5,1,0,0.261241,0.020033,0,1,3.329835984476,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110052,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,1.89374524598295,0,95,0,0.266519607327435,0,95,0,0.150271834684291,0.695506795702276,2.30156302606038,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.29054333781441,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110053,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.453951443539716,0,95,0,0.802331448065441,0,95,0,0.0377774414931108,0.102288243627717,0.740320034610104,1,5,0,0.5,1,0,0.261241,0.020033,0,1,2.27979451020631,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110054,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.119246357960927,0,95,0,0.0350969099364092,0,95,0,0.0370263089732767,1.03827345128023,3.54083926694286,1,5,0,0.5,1,0,0.261241,0.020033,0,1,4.64937132183468,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
110055,sobolSamplefb,38,210,6.01128,10.61775,2.51559,0,7.434266,0,2.158602,0.863441,0.173778155828266,0,95,0,0.116920251322296,0,95,0,0.0203517961505536,1.04617184077661,4.89629633845519,1,5,0,0.5,1,0,0.261241,0.020033,0,1,3.51627706684617,0,0,2,0.15,0,0,0,0,0,1,7.92,0.176907,0,0,43.316868,9,9
