fueltype,fueltype_consume,EVT642.1,EVT642.9,EVT660.1,EVT660.9,EVT666.1,EVT666.9,EVTall.1,EVTall.9
os_loading,overstory_loading,NA,NA,NA,NA,NA,NA,0,63.302
ms_loading,midstory_loading,NA,NA,NA,NA,NA,NA,0.166,15.882
us_loading,understory_loading,NA,NA,NA,NA,NA,NA,0,5.122
tree_loading,NA,14.87,195.335,16.133,95.132,5.38,83.718,3.18,83.386
snag_loading,snags_c1_foliage_loading,0,43.99,0,4.224,0,3.594,0,4.92
shrub_loading,shrubs_primary_loading,0.618,2.71,0.12,2.1,0,2.763,0,2.17
herb_loading,nw_primary_loading,0.066,0.58,0,0.42,0,0.58,0,0.5
herb_percentlive,nw_primary_perc_live,NA,NA,NA,NA,NA,NA,18.75,100
moss_loading,moss_loading,NA,NA,NA,NA,NA,NA,0,6.238
lichen_loading,lichen_loading,NA,NA,NA,NA,NA,NA,0,0.255
litter_loading,litter_loading,1.632,6.078,1.462,8.492,0.5,7.743,0.23,7.39
litter_depth,litter_depth,NA,NA,NA,NA,NA,NA,0,0.51
duff_loading,duff_upper_loading,4.008,41.65,0,11.96,0,6.339,0,13.684
duff_depth,duff_upper_depth,NA,NA,NA,NA,NA,NA,0,1.9
X1hr_loading,w_sound_0_quarter_loading,0.03,0.72,0.01,0.1,0,0.12,0,0.25
X10hr_loading,w_sound_quarter_1_loading,0.27,2.534,0.065,1.025,0,1.256,0,1.86
X100hr_loading,w_sound_1_3_loading,0.34,5.302,0,3.456,0,4.09,0,4.17
fwd_loading,NA,0.17,7.1,0.21,4.43,0.01,4.706,0.01,5.22
X1000hrS_loading,w_sound_3_9_loading,0,7.022,NA,NA,NA,NA,0,6.566
X1000hrR_loading,w_rotten_3_9_loading,0,1.888,NA,NA,NA,NA,0,2.239
X1000hr_loading,NA,0.35,7.92,NA,NA,NA,NA,0,9.273
X10000hrS_loading,w_sound_9_20_loading,0,24.518,NA,NA,NA,NA,0,14.73
X10000hrR_loading,w_rotten_9_20_loading,0,10.15,NA,NA,NA,NA,0,6.2
X10000hr_loading,NA,0,29.614,NA,NA,NA,NA,0,18.68
GT10000hrS_loading,w_sound_gt20_loading,0,45.988,NA,NA,NA,NA,0,16.89
GT10000hrR_loading,w_rotten_gt20_loading,0,12.266,NA,NA,NA,NA,0,0
GT10000hr_loading,NA,0,55.514,NA,NA,NA,NA,0,22.576
cwd_sound_loading,NA,0,65.817,NA,NA,NA,NA,0,37.069
cwd_rotten_loading,NA,0,48.09,NA,NA,NA,NA,0,27.013
cwd_loading,NA,3.748,94.684,0,7.704,0,6.66,0,29.23
