"RelChange.PM10.642","RelChange.PM10.660","sens.index.PM10.642","sens.index.PM10.660","imp.index.PM10.642","imp.index.PM10.660","relDev.PM10.642","relDev.PM10.660","relDevRat.PM10.642","relDevRat.PM10.660","relSlope.PM10.642","relSlope.PM10.660","slope.PM10.642","slope.PM10.660"
"duff_upper_depth","litter_depth","duff_upper_loading","snags_c1_foliage_loading","duff_upper_depth","duff_upper_depth","duff_upper_loading","duff_upper_depth","duff_upper_loading","duff_upper_depth","duff_upper_loading","overstory_loading","duff_upper_depth","duff_upper_depth"
"litter_depth","duff_upper_depth","overstory_loading","understory_loading","w_rotten_3_9_loading","litter_depth","overstory_loading","overstory_loading","overstory_loading","overstory_loading","overstory_loading","duff_upper_depth","w_rotten_3_9_loading","litter_depth"
"w_rotten_3_9_loading","w_rotten_3_9_loading","snags_c1_foliage_loading","duff_upper_depth","litter_depth","w_rotten_3_9_loading","snags_c1_foliage_loading","duff_upper_loading","snags_c1_foliage_loading","duff_upper_loading","snags_c1_foliage_loading","duff_upper_loading","litter_depth","w_rotten_3_9_loading"
"duff_upper_loading","litter_loading","w_sound_gt20_loading","litter_depth","duff_upper_loading","duff_upper_loading","w_sound_gt20_loading","midstory_loading","w_sound_gt20_loading","litter_loading","w_sound_gt20_loading","midstory_loading","duff_upper_loading","duff_upper_loading"
"w_rotten_9_20_loading","nw_primary_loading","duff_upper_depth","w_rotten_9_20_loading","w_rotten_9_20_loading","litter_loading","duff_upper_depth","litter_loading","duff_upper_depth","midstory_loading","duff_upper_depth","litter_loading","w_rotten_9_20_loading","litter_loading"
"litter_loading","shrubs_primary_loading","w_rotten_9_20_loading","w_sound_9_20_loading","litter_loading","w_sound_0_quarter_loading","w_rotten_9_20_loading","litter_depth","w_rotten_9_20_loading","litter_depth","w_rotten_9_20_loading","w_sound_9_20_loading","litter_loading","w_sound_0_quarter_loading"
"w_sound_0_quarter_loading","w_sound_3_9_loading","w_sound_9_20_loading","overstory_loading","moss_loading","nw_primary_loading","w_sound_9_20_loading","w_sound_3_9_loading","w_sound_9_20_loading","w_sound_3_9_loading","w_sound_9_20_loading","w_rotten_9_20_loading","lichen_loading","nw_primary_loading"
"moss_loading","understory_loading","midstory_loading","w_rotten_3_9_loading","w_sound_0_quarter_loading","w_sound_quarter_1_loading","midstory_loading","w_sound_9_20_loading","midstory_loading","w_sound_9_20_loading","midstory_loading","w_sound_3_9_loading","w_sound_0_quarter_loading","w_sound_quarter_1_loading"
"lichen_loading","midstory_loading","w_sound_3_9_loading","w_sound_gt20_loading","lichen_loading","w_sound_1_3_loading","w_sound_3_9_loading","w_rotten_9_20_loading","w_sound_3_9_loading","w_rotten_9_20_loading","w_sound_3_9_loading","w_sound_gt20_loading","moss_loading","w_sound_1_3_loading"
"w_sound_3_9_loading","w_sound_1_3_loading","moss_loading","w_sound_3_9_loading","w_sound_3_9_loading","w_rotten_9_20_loading","moss_loading","w_sound_gt20_loading","litter_loading","w_sound_gt20_loading","moss_loading","w_rotten_3_9_loading","w_sound_3_9_loading","w_rotten_9_20_loading"
