Fuelbeds,Filename,Total Consumption,Canopy Consumption,Shrub Consumption,Herb Consumption,Wood Consumption,LLM Consumption,Ground Consumption,C_total_F,C_canopy_F,C_shrub_F,C_herb_F,C_wood_F,C_llm_F,C_ground_F,C_total_S,C_canopy_S,C_shrub_S,C_herb_S,C_wood_S,C_llm_S,C_ground_S,C_total_R,C_canopy_R,C_wood_R,C_llm_R,C_ground_R,CH4 Emissions,CO Emissions,CO2 Emissions,NMHC Emissions,PM Emissions,PM10 Emissions,PM25 Emissions,E_ch4_F,E_co_F,E_co2_F,E_nmhc_F,E_pm_F,E_pm10_F,E_pm25_F,E_ch4_S,E_co_S,E_co2_S,E_nmhc_S,E_pm_S,E_pm10_S,E_pm25_S,E_ch4_R,E_co_R,E_co2_R,E_nmhc_R,E_pm_R,E_pm10_R,E_pm25_R,C_overstory_crown,C_midstory_crown,C_understory_crown,C_snagC1F_crown,C_snagC1F_wood,C_snagC1_wood,C_snagC2_wood,C_snagC3_wood,C_ladder,C_shrub_1live,C_shrub_1dead,C_shrub_2live,C_shrub_2dead,C_herb_1live,C_herb_1dead,C_herb_2live,C_herb_2dead,C_wood_1hr,C_wood_10hr,C_wood_100hr,C_wood_S1000hr,C_wood_R1000hr,C_wood_S10khr,C_wood_R10khr,C_wood_S+10khr,C_wood_R+10khr,C_stump_sound,C_stump_rotten,C_stump_lightered,C_litter,C_lichen,C_moss,C_upperduff,C_lowerduff,C_basal_accum,C_squirrel,CH4_canopy,CH4_shrub,CH4_herb,CH4_wood,CH4_llm,CH4_ground,CO_canopy,CO_shrub,CO_herb,CO_wood,CO_llm,CO_ground,CO2_canopy,CO2_shrub,CO2_herb,CO2_wood,CO2_llm,CO2_ground,NMHC_canopy,NMHC_shrub,NMHC_herb,NMHC_wood,NMHC_llm,NMHC_ground,PM_canopy,PM_shrub,PM_herb,PM_wood,PM_llm,PM_ground,PM10_canopy,PM10_shrub,PM10_herb,PM10_wood,PM10_llm,PM10_ground,PM25_canopy,PM25_shrub,PM25_herb,PM25_wood,PM25_llm,PM25_ground,Total Heat Release,Flaming Heat Release,Smoldering Heat Release,Residual Heat Release
13,FB_0013_FCCS.xml,27.76948149942087,6.40388259,0.908659237203149,0.18548,17.38710728300724,0.487124,2.3972283892104818,12.37232779825457,3.120395816999999,0.8598003761787898,0.176206,7.535291166154734,0.4409116,0.23972283892104818,8.574767641449892,1.717914282,0.048858861024359185,0.009274000000000001,5.0744482259781964,0.04621240000000001,1.6780598724473372,6.822386059716406,1.565572491,4.777367890874309,0.0,0.47944567784209635,261.91542743179167,5489.325978877052,87823.23048802887,192.35305560491292,980.9014324838681,707.3573105127307,650.3059345624331,37.11698339476371,1101.1371740446568,42078.286841863795,44.540380073716456,232.59976260718594,142.28176967992755,123.72327798254571,125.19160756516843,2443.808777813219,25475.63466274763,82.31776935791896,416.73370737446476,314.69397244121103,293.25705333758634,99.60683647185952,1944.3800270191757,20269.308983417443,65.4949061732775,331.5679625022173,250.3815683915921,233.3256032423011,2.17829976,0.0,0.2336481,0.011136159999999999,0.0,0.086830695,2.580111975,1.2900559,0.023799999999999998,0.04617004284775425,0.41553038562978833,0.02234794043628029,0.4246108682893261,0.027822000000000006,0.157658,0.0,0.0,0.4,0.519,0.7844,7.5001435923971815,2.9134356305379487,0.963345187627997,0.4829566055644438,1.226615223132249,2.597211043747418,0.0,0.0,0.0,0.437124,0.005,0.045,2.3972283892104818,0.0,0.0,0.0,57.3000943368,3.2927404994920133,0.6640184,166.44238880451078,1.99743584,32.218749550988875,1213.508958018,90.44700887185465,18.325424,3478.408507090736,52.4116664,636.2244144964619,20367.705376199996,3069.340755487435,626.82966,54897.27093926104,1636.8373920000001,7225.246365080391,42.754897962,3.5643264200774913,0.7233720000000001,121.70448291994109,2.0309208,21.575055502894337,218.24089852739996,18.538787717945105,3.7633892,620.4617372027408,10.53506072,109.36155911578219,156.3885164646,11.680824525650065,2.3667248,448.21749989926644,6.766478480000001,81.93726634321428,143.4992058066,10.268976808820982,2.0792308,412.2850228579031,5.9895800800000005,76.18391820910912,444311703.9907339,197957244.77207312,137196282.26319826,109158176.9554625
90,FB_0090_FCCS.xml,34.30540878856869,8.96668514,0.7393775194906906,0.009274000000000001,9.79002948721889,5.27,9.530042641859112,20.826067696299084,7.971507985,0.6987117559187026,0.0088103,6.451033391194471,4.742999999999999,0.9530042641859112,10.057010567801832,0.75029101,0.04066576357198799,0.00046370000000000005,2.0675602449284667,0.527,6.6710298493013775,3.4223305244677755,0.244886145,1.271435851095953,0.0,1.9060085283718224,350.5006314882003,6693.411257908594,109167.72010212386,291.74230078132973,982.3193620411241,637.39185098197,566.2224606059577,90.38937595651598,1872.2562960691157,70624.286059852,106.47204494235524,477.77647299887894,293.2327895881872,255.52348882284883,195.07549219051594,3624.7239288498713,28729.453422908624,139.07788822282566,378.33036534446967,257.99863725806745,232.97524239856287,65.0357633411684,1196.431032989606,9813.980619363228,46.19236761614886,126.21252369777547,86.16042413571539,77.72372938454595,5.03117944,2.62421775,0.6586272,0.0,0.08089077500000001,0.0,0.314473425,0.25729655,0.0,0.07393775194906904,0.6654397675416216,0.0,0.0,0.0018547999999999998,0.007419200000000001,0.0,0.0,1.0,1.2109999999999999,1.1766,2.884670390562732,0.8638921090281603,0.963345187627997,0.0,0.0,0.0,0.0,0.102101,0.0,5.27,0.0,0.0,9.530042641859112,0.0,0.0,0.0,54.58010737200001,3.8713806920532563,0.04785384000000001,88.49971861933432,31.1984,172.30317096481275,1097.61357335,79.16515101186825,0.9802618000000001,1659.541833213229,629.2379999999999,3226.8724385334954,29852.69063007,2483.872232752221,31.180115400000002,31540.60525782928,17576.503999999997,27682.86786607235,55.384321692,4.202621820785086,0.05230536,75.02729244735312,32.0416,125.03415946119154,221.16141554499998,17.615669401865706,0.2202575,266.3604631664008,129.11499999999998,347.8465564278576,137.3762001045,10.835207859376325,0.13535403000000001,173.50643530775505,80.05129999999998,235.48735368033863,120.53954284399998,9.47586228979269,0.11833624,153.56296917154398,70.19639999999998,212.32935006062098,548886540.617099,333217083.14078534,160912169.08482933,54757288.39148441
13001,litter_loading,28.96435749942087,6.40388259,0.908659237203149,0.18548,17.38710728300724,1.682,2.3972283892104818,13.447716198254572,3.120395816999999,0.8598003761787898,0.176206,7.535291166154734,1.5163,0.23972283892104818,8.694255241449893,1.717914282,0.048858861024359185,0.009274000000000001,5.0744482259781964,0.16570000000000001,1.6780598724473372,6.822386059716406,1.565572491,4.777367890874309,0.0,0.47944567784209635,266.8861115917917,5619.089512477052,91835.62409602887,197.37153480491293,1006.925831763868,724.1094720327308,665.1462944824332,40.34314859476372,1196.846741644657,45735.682790263796,48.41177831371646,252.81706452718595,154.64873627992756,134.4771619825457,126.93612652516843,2477.8627438132194,25830.632322347632,83.46485031791897,422.5408047344648,319.0791673612111,297.34352925758634,99.60683647185952,1944.3800270191757,20269.308983417443,65.4949061732775,331.5679625022173,250.3815683915921,233.3256032423011,2.17829976,0.0,0.2336481,0.011136159999999999,0.0,0.086830695,2.580111975,1.2900559,0.023799999999999998,0.04617004284775425,0.41553038562978833,0.02234794043628029,0.4246108682893261,0.027822000000000006,0.157658,0.0,0.0,0.4,0.519,0.7844,7.5001435923971815,2.9134356305379487,0.963345187627997,0.4829566055644438,1.226615223132249,2.597211043747418,0.0,0.0,0.0,1.632,0.005,0.045,2.3972283892104818,0.0,0.0,0.0,57.3000943368,3.2927404994920133,0.6640184,166.44238880451078,6.96812,32.218749550988875,1213.508958018,90.44700887185465,18.325424,3478.408507090736,182.17520000000002,636.2244144964619,20367.705376199996,3069.340755487435,626.82966,54897.27093926104,5649.231000000001,7225.246365080391,42.754897962,3.5643264200774913,0.7233720000000001,121.70448291994109,7.0494,21.575055502894337,218.24089852739996,18.538787717945105,3.7633892,620.4617372027408,36.55946,109.36155911578219,156.3885164646,11.680824525650065,2.3667248,448.21749989926644,23.518639999999998,81.93726634321428,143.4992058066,10.268976808820982,2.0792308,412.2850228579031,20.82994,76.18391820910912,463429719.9907339,215163459.17207316,139108083.86319828,109158176.9554625
90001,litter_loading,30.49740878856869,8.96668514,0.7393775194906906,0.009274000000000001,9.79002948721889,1.462,9.530042641859112,17.398867696299085,7.971507985,0.6987117559187026,0.0088103,6.451033391194471,1.3158,0.9530042641859112,9.676210567801832,0.75029101,0.04066576357198799,0.00046370000000000005,2.0675602449284667,0.1462,6.6710298493013775,3.4223305244677755,0.244886145,1.271435851095953,0.0,1.9060085283718224,327.9572714882003,6238.736057908593,96467.27850212387,268.5896607813297,889.0233620411241,579.5483309819701,515.4999006059577,75.30969595651598,1556.9538960691157,59009.505259852005,88.65060494235524,398.95087299887894,245.2519895881872,213.71164882284884,187.61181219051593,3485.3511288498707,27643.792622908622,133.74668822282564,363.85996534446963,248.13591725806742,224.06452239856284,65.0357633411684,1196.431032989606,9813.980619363228,46.19236761614886,126.21252369777547,86.16042413571539,77.72372938454595,5.03117944,2.62421775,0.6586272,0.0,0.08089077500000001,0.0,0.314473425,0.25729655,0.0,0.07393775194906904,0.6654397675416216,0.0,0.0,0.0018547999999999998,0.007419200000000001,0.0,0.0,1.0,1.2109999999999999,1.1766,2.884670390562732,0.8638921090281603,0.963345187627997,0.0,0.0,0.0,0.0,0.102101,0.0,1.462,0.0,0.0,9.530042641859112,0.0,0.0,0.0,54.58010737200001,3.8713806920532563,0.04785384000000001,88.49971861933432,8.65504,172.30317096481275,1097.61357335,79.16515101186825,0.9802618000000001,1659.541833213229,174.5628,3226.8724385334954,29852.69063007,2483.872232752221,31.180115400000002,31540.60525782928,4876.062400000001,27682.86786607235,55.384321692,4.202621820785086,0.05230536,75.02729244735312,8.88896,125.03415946119154,221.16141554499998,17.615669401865706,0.2202575,266.3604631664008,35.819,347.8465564278576,137.3762001045,10.835207859376325,0.13535403000000001,173.50643530775505,22.207780000000003,235.48735368033863,120.53954284399998,9.47586228979269,0.11833624,153.56296917154398,19.47384,212.32935006062098,487958540.61709905,278381883.14078534,154819369.0848293,54757288.39148441
13002,litter_loading,29.24223249942087,6.40388259,0.908659237203149,0.18548,17.38710728300724,1.959875,2.3972283892104818,13.697803698254571,3.120395816999999,0.8598003761787898,0.176206,7.535291166154734,1.7663875000000002,0.23972283892104818,8.722042741449894,1.717914282,0.048858861024359185,0.009274000000000001,5.0744482259781964,0.1934875,1.6780598724473372,6.822386059716406,1.565572491,4.777367890874309,0.0,0.47944567784209635,268.0420715917917,5649.266737477053,92768.72834602887,198.53860980491294,1012.9779492638681,728.0052795327308,668.5975019824332,41.09341109476371,1219.104529144657,46586.23037776379,49.31209331371646,257.51870952718593,157.52474252992758,136.97803698254572,127.34182402516845,2485.7821813132196,25913.188984847635,83.73161031791898,423.89127723446484,320.0989686112111,298.2938617575864,99.60683647185952,1944.3800270191757,20269.308983417443,65.4949061732775,331.5679625022173,250.3815683915921,233.3256032423011,2.17829976,0.0,0.2336481,0.011136159999999999,0.0,0.086830695,2.580111975,1.2900559,0.023799999999999998,0.04617004284775425,0.41553038562978833,0.02234794043628029,0.4246108682893261,0.027822000000000006,0.157658,0.0,0.0,0.4,0.519,0.7844,7.5001435923971815,2.9134356305379487,0.963345187627997,0.4829566055644438,1.226615223132249,2.597211043747418,0.0,0.0,0.0,1.909875,0.005,0.045,2.3972283892104818,0.0,0.0,0.0,57.3000943368,3.2927404994920133,0.6640184,166.44238880451078,8.124080000000001,32.218749550988875,1213.508958018,90.44700887185465,18.325424,3478.408507090736,212.352425,636.2244144964619,20367.705376199996,3069.340755487435,626.82966,54897.27093926104,6582.33525,7225.246365080391,42.754897962,3.5643264200774913,0.7233720000000001,121.70448291994109,8.216475,21.575055502894337,218.24089852739996,18.538787717945105,3.7633892,620.4617372027408,42.6115775,109.36155911578219,156.3885164646,11.680824525650065,2.3667248,448.21749989926644,27.4144475,81.93726634321428,143.4992058066,10.268976808820982,2.0792308,412.2850228579031,24.281147500000003,76.18391820910912,467875719.9907339,219164859.17207313,139552683.8631983,109158176.9554625
90002,litter_loading,30.93678378856869,8.96668514,0.7393775194906906,0.009274000000000001,9.79002948721889,1.901375,9.530042641859112,17.794305196299085,7.971507985,0.6987117559187026,0.0088103,6.451033391194471,1.7112375,0.9530042641859112,9.720148067801832,0.75029101,0.04066576357198799,0.00046370000000000005,2.0675602449284667,0.19013750000000001,6.6710298493013775,3.4223305244677755,0.244886145,1.271435851095953,0.0,1.9060085283718224,330.5583714882003,6291.197432908593,97932.68200212385,271.2610607813297,899.7880495411241,586.2224372319702,521.3523756059576,77.04962095651598,1593.3341460691158,60349.642947352004,90.70687994235524,408.045935498879,250.7881145881872,218.53598632284883,188.47298719051594,3501.432253849871,27769.058435408624,134.36181322282565,365.5295903444696,249.27389850806745,225.09265989856286,65.0357633411684,1196.431032989606,9813.980619363228,46.19236761614886,126.21252369777547,86.16042413571539,77.72372938454595,5.03117944,2.62421775,0.6586272,0.0,0.08089077500000001,0.0,0.314473425,0.25729655,0.0,0.07393775194906904,0.6654397675416216,0.0,0.0,0.0018547999999999998,0.007419200000000001,0.0,0.0,1.0,1.2109999999999999,1.1766,2.884670390562732,0.8638921090281603,0.963345187627997,0.0,0.0,0.0,0.0,0.102101,0.0,1.901375,0.0,0.0,9.530042641859112,0.0,0.0,0.0,54.58010737200001,3.8713806920532563,0.04785384000000001,88.49971861933432,11.256140000000002,172.30317096481275,1097.61357335,79.16515101186825,0.9802618000000001,1659.541833213229,227.024175,3226.8724385334954,29852.69063007,2483.872232752221,31.180115400000002,31540.60525782928,6341.4659,27682.86786607235,55.384321692,4.202621820785086,0.05230536,75.02729244735312,11.560360000000001,125.03415946119154,221.16141554499998,17.615669401865706,0.2202575,266.3604631664008,46.5836875,347.8465564278576,137.3762001045,10.835207859376325,0.13535403000000001,173.50643530775505,28.88188625,235.48735368033863,120.53954284399998,9.47586228979269,0.11833624,153.56296917154398,25.326314999999997,212.32935006062098,494988540.61709905,284708883.14078534,155522369.0848293,54757288.39148441
13003,litter_loading,29.52010749942087,6.40388259,0.908659237203149,0.18548,17.38710728300724,2.2377499999999997,2.3972283892104818,13.94789119825457,3.120395816999999,0.8598003761787898,0.176206,7.535291166154734,2.016475,0.23972283892104818,8.749830241449892,1.717914282,0.048858861024359185,0.009274000000000001,5.0744482259781964,0.221275,1.6780598724473372,6.822386059716406,1.565572491,4.777367890874309,0.0,0.47944567784209635,269.1980315917917,5679.443962477052,93701.83259602886,199.70568480491295,1019.030066763868,731.9010870327309,672.0487094824332,41.843673594763715,1241.3623166446569,47436.77796526379,50.21240831371645,262.2203545271859,160.40074877992757,139.4789119825457,127.74752152516842,2493.7016188132193,25995.74564734763,83.99837031791897,425.2417497344648,321.1187698612111,299.24419425758634,99.60683647185952,1944.3800270191757,20269.308983417443,65.4949061732775,331.5679625022173,250.3815683915921,233.3256032423011,2.17829976,0.0,0.2336481,0.011136159999999999,0.0,0.086830695,2.580111975,1.2900559,0.023799999999999998,0.04617004284775425,0.41553038562978833,0.02234794043628029,0.4246108682893261,0.027822000000000006,0.157658,0.0,0.0,0.4,0.519,0.7844,7.5001435923971815,2.9134356305379487,0.963345187627997,0.4829566055644438,1.226615223132249,2.597211043747418,0.0,0.0,0.0,2.18775,0.005,0.045,2.3972283892104818,0.0,0.0,0.0,57.3000943368,3.2927404994920133,0.6640184,166.44238880451078,9.28004,32.218749550988875,1213.508958018,90.44700887185465,18.325424,3478.408507090736,242.52965,636.2244144964619,20367.705376199996,3069.340755487435,626.82966,54897.27093926104,7515.439499999999,7225.246365080391,42.754897962,3.5643264200774913,0.7233720000000001,121.70448291994109,9.38355,21.575055502894337,218.24089852739996,18.538787717945105,3.7633892,620.4617372027408,48.663695,109.36155911578219,156.3885164646,11.680824525650065,2.3667248,448.21749989926644,31.310254999999998,81.93726634321428,143.4992058066,10.268976808820982,2.0792308,412.2850228579031,27.732355,76.18391820910912,472321719.9907339,223166259.17207313,139997283.86319828,109158176.9554625
90003,litter_loading,31.376158788568688,8.96668514,0.7393775194906906,0.009274000000000001,9.79002948721889,2.34075,9.530042641859112,18.189742696299085,7.971507985,0.6987117559187026,0.0088103,6.451033391194471,2.106675,0.9530042641859112,9.764085567801832,0.75029101,0.04066576357198799,0.00046370000000000005,2.0675602449284667,0.234075,6.6710298493013775,3.4223305244677755,0.244886145,1.271435851095953,0.0,1.9060085283718224,333.1594714882003,6343.658807908592,99398.08550212387,273.9324607813297,910.5527370411241,592.8965434819701,527.2048506059576,78.78954595651598,1629.7143960691158,61689.780634852,92.76315494235524,417.14099799887896,256.3242395881872,223.36032382284884,189.33416219051594,3517.513378849871,27894.324247908626,134.97693822282565,367.1992153444696,250.41187975806744,226.12079739856287,65.0357633411684,1196.431032989606,9813.980619363228,46.19236761614886,126.21252369777547,86.16042413571539,77.72372938454595,5.03117944,2.62421775,0.6586272,0.0,0.08089077500000001,0.0,0.314473425,0.25729655,0.0,0.07393775194906904,0.6654397675416216,0.0,0.0,0.0018547999999999998,0.007419200000000001,0.0,0.0,1.0,1.2109999999999999,1.1766,2.884670390562732,0.8638921090281603,0.963345187627997,0.0,0.0,0.0,0.0,0.102101,0.0,2.34075,0.0,0.0,9.530042641859112,0.0,0.0,0.0,54.58010737200001,3.8713806920532563,0.04785384000000001,88.49971861933432,13.857240000000001,172.30317096481275,1097.61357335,79.16515101186825,0.9802618000000001,1659.541833213229,279.48555,3226.8724385334954,29852.69063007,2483.872232752221,31.180115400000002,31540.60525782928,7806.8694000000005,27682.86786607235,55.384321692,4.202621820785086,0.05230536,75.02729244735312,14.231760000000001,125.03415946119154,221.16141554499998,17.615669401865706,0.2202575,266.3604631664008,57.348375,347.8465564278576,137.3762001045,10.835207859376325,0.13535403000000001,173.50643530775505,35.5559925,235.48735368033863,120.53954284399998,9.47586228979269,0.11833624,153.56296917154398,31.17879,212.32935006062098,502018540.617099,291035883.14078534,156225369.0848293,54757288.39148441
13004,litter_loading,29.797982499420872,6.40388259,0.908659237203149,0.18548,17.38710728300724,2.515625,2.3972283892104818,14.19797869825457,3.120395816999999,0.8598003761787898,0.176206,7.535291166154734,2.2665625,0.23972283892104818,8.777617741449893,1.717914282,0.048858861024359185,0.009274000000000001,5.0744482259781964,0.24906250000000002,1.6780598724473372,6.822386059716406,1.565572491,4.777367890874309,0.0,0.47944567784209635,270.35399159179167,5709.621187477052,94634.93684602887,200.8727598049129,1025.0821842638682,735.7968945327307,675.4999169824332,42.593936094763706,1263.6201041446568,48287.32555276379,51.11272331371645,266.9219995271859,163.27675502992756,141.9797869825457,128.15321902516843,2501.6210563132195,26078.302309847633,84.26513031791897,426.5922222344648,322.1385711112111,300.19452675758635,99.60683647185952,1944.3800270191757,20269.308983417443,65.4949061732775,331.5679625022173,250.3815683915921,233.3256032423011,2.17829976,0.0,0.2336481,0.011136159999999999,0.0,0.086830695,2.580111975,1.2900559,0.023799999999999998,0.04617004284775425,0.41553038562978833,0.02234794043628029,0.4246108682893261,0.027822000000000006,0.157658,0.0,0.0,0.4,0.519,0.7844,7.5001435923971815,2.9134356305379487,0.963345187627997,0.4829566055644438,1.226615223132249,2.597211043747418,0.0,0.0,0.0,2.465625,0.005,0.045,2.3972283892104818,0.0,0.0,0.0,57.3000943368,3.2927404994920133,0.6640184,166.44238880451078,10.436,32.218749550988875,1213.508958018,90.44700887185465,18.325424,3478.408507090736,272.706875,636.2244144964619,20367.705376199996,3069.340755487435,626.82966,54897.27093926104,8448.54375,7225.246365080391,42.754897962,3.5643264200774913,0.7233720000000001,121.70448291994109,10.550625,21.575055502894337,218.24089852739996,18.538787717945105,3.7633892,620.4617372027408,54.715812500000006,109.36155911578219,156.3885164646,11.680824525650065,2.3667248,448.21749989926644,35.2060625,81.93726634321428,143.4992058066,10.268976808820982,2.0792308,412.2850228579031,31.1835625,76.18391820910912,476767719.990734,227167659.17207313,140441883.86319828,109158176.9554625
90004,litter_loading,31.815533788568693,8.96668514,0.7393775194906906,0.009274000000000001,9.79002948721889,2.780125,9.530042641859112,18.585180196299085,7.971507985,0.6987117559187026,0.0088103,6.451033391194471,2.5021125,0.9530042641859112,9.808023067801832,0.75029101,0.04066576357198799,0.00046370000000000005,2.0675602449284667,0.2780125,6.6710298493013775,3.4223305244677755,0.244886145,1.271435851095953,0.0,1.9060085283718224,335.76057148820036,6396.120182908593,100863.48900212385,276.60386078132973,921.3174245411242,599.57064973197,533.0573256059577,80.52947095651598,1666.0946460691157,63029.918322352,94.81942994235524,426.23606049887894,261.86036458818717,228.18466132284883,190.19533719051594,3533.594503849871,28019.590060408624,135.59206322282566,368.8688403444697,251.54986100806744,227.14893489856286,65.0357633411684,1196.431032989606,9813.980619363228,46.19236761614886,126.21252369777547,86.16042413571539,77.72372938454595,5.03117944,2.62421775,0.6586272,0.0,0.08089077500000001,0.0,0.314473425,0.25729655,0.0,0.07393775194906904,0.6654397675416216,0.0,0.0,0.0018547999999999998,0.007419200000000001,0.0,0.0,1.0,1.2109999999999999,1.1766,2.884670390562732,0.8638921090281603,0.963345187627997,0.0,0.0,0.0,0.0,0.102101,0.0,2.780125,0.0,0.0,9.530042641859112,0.0,0.0,0.0,54.58010737200001,3.8713806920532563,0.04785384000000001,88.49971861933432,16.45834,172.30317096481275,1097.61357335,79.16515101186825,0.9802618000000001,1659.541833213229,331.94692499999996,3226.8724385334954,29852.69063007,2483.872232752221,31.180115400000002,31540.60525782928,9272.2729,27682.86786607235,55.384321692,4.202621820785086,0.05230536,75.02729244735312,16.90316,125.03415946119154,221.16141554499998,17.615669401865706,0.2202575,266.3604631664008,68.1130625,347.8465564278576,137.3762001045,10.835207859376325,0.13535403000000001,173.50643530775505,42.23009875,235.48735368033863,120.53954284399998,9.47586228979269,0.11833624,153.56296917154398,37.031265,212.32935006062098,509048540.6170991,297362883.14078534,156928369.0848293,54757288.39148441
