area,fm_duff,fm_1000hr,can_con_pct,shrub_black_pct,pile_black_pct,fuelbeds,units,ecoregion
100,80,50,90,80,90,13,tons,western
100,80,50,90,80,90,90,tons,western
100,80,50,90,80,90,13001,tons,western
100,80,50,90,80,90,90001,tons,western
100,80,50,90,80,90,13002,tons,western
100,80,50,90,80,90,90002,tons,western
100,80,50,90,80,90,13003,tons,western
100,80,50,90,80,90,90003,tons,western
100,80,50,90,80,90,13004,tons,western
100,80,50,90,80,90,90004,tons,western
100,80,50,90,80,90,13005,tons,western
100,80,50,90,80,90,90005,tons,western
100,80,50,90,80,90,13006,tons,western
100,80,50,90,80,90,90006,tons,western
100,80,50,90,80,90,13007,tons,western
100,80,50,90,80,90,90007,tons,western
100,80,50,90,80,90,13008,tons,western
100,80,50,90,80,90,90008,tons,western
100,80,50,90,80,90,13009,tons,western
100,80,50,90,80,90,90009,tons,western
100,80,50,90,80,90,13010,tons,western
100,80,50,90,80,90,90010,tons,western
100,80,50,90,80,90,13011,tons,western
100,80,50,90,80,90,90011,tons,western
100,80,50,90,80,90,13012,tons,western
100,80,50,90,80,90,90012,tons,western
100,80,50,90,80,90,13013,tons,western
100,80,50,90,80,90,90013,tons,western
100,80,50,90,80,90,13014,tons,western
100,80,50,90,80,90,90014,tons,western
100,80,50,90,80,90,13015,tons,western
100,80,50,90,80,90,90015,tons,western
100,80,50,90,80,90,13016,tons,western
100,80,50,90,80,90,90016,tons,western
100,80,50,90,80,90,13017,tons,western
100,80,50,90,80,90,90017,tons,western
100,80,50,90,80,90,13018,tons,western
100,80,50,90,80,90,90018,tons,western
100,80,50,90,80,90,13019,tons,western
100,80,50,90,80,90,90019,tons,western
100,80,50,90,80,90,13020,tons,western
100,80,50,90,80,90,90020,tons,western
100,80,50,90,80,90,13021,tons,western
100,80,50,90,80,90,90021,tons,western
100,80,50,90,80,90,13022,tons,western
100,80,50,90,80,90,90022,tons,western
100,80,50,90,80,90,13023,tons,western
100,80,50,90,80,90,90023,tons,western
100,80,50,90,80,90,13024,tons,western
100,80,50,90,80,90,90024,tons,western
100,80,50,90,80,90,13025,tons,western
100,80,50,90,80,90,90025,tons,western
100,80,50,90,80,90,13026,tons,western
100,80,50,90,80,90,90026,tons,western
100,80,50,90,80,90,13027,tons,western
100,80,50,90,80,90,90027,tons,western
