"area","fm_duff","fm_1000hr","can_con_pct","shrub_black_pct","pile_black_pct","fuelbeds","units","ecoregion","fm_litter","season"
100,20,5,50,80,90,59001,"tons","western",4,"summer"
100,20,5,50,80,90,59002,"tons","western",4,"summer"
100,20,5,50,80,90,59003,"tons","western",4,"summer"
100,20,5,50,80,90,59004,"tons","western",4,"summer"
100,20,5,50,80,90,59005,"tons","western",4,"summer"
100,20,5,50,80,90,59006,"tons","western",4,"summer"
100,20,5,50,80,90,59007,"tons","western",4,"summer"
100,20,5,50,80,90,59008,"tons","western",4,"summer"
100,20,5,50,80,90,59009,"tons","western",4,"summer"
100,20,5,50,80,90,59010,"tons","western",4,"summer"
100,20,5,50,80,90,59011,"tons","western",4,"summer"
100,20,5,50,80,90,59012,"tons","western",4,"summer"
100,20,5,50,80,90,59013,"tons","western",4,"summer"
100,20,5,50,80,90,59014,"tons","western",4,"summer"
100,20,5,50,80,90,59015,"tons","western",4,"summer"
100,20,5,50,80,90,59016,"tons","western",4,"summer"
100,20,5,50,80,90,59017,"tons","western",4,"summer"
100,20,5,50,80,90,59018,"tons","western",4,"summer"
100,20,5,50,80,90,59019,"tons","western",4,"summer"
100,20,5,50,80,90,59020,"tons","western",4,"summer"
100,20,5,50,80,90,59021,"tons","western",4,"summer"
100,20,5,50,80,90,59022,"tons","western",4,"summer"
100,20,5,50,80,90,59023,"tons","western",4,"summer"
100,20,5,50,80,90,59024,"tons","western",4,"summer"
100,20,5,50,80,90,59025,"tons","western",4,"summer"
100,20,5,50,80,90,59026,"tons","western",4,"summer"
100,20,5,50,80,90,59027,"tons","western",4,"summer"
100,20,5,50,80,90,59028,"tons","western",4,"summer"
100,20,5,50,80,90,59029,"tons","western",4,"summer"
100,20,5,50,80,90,59030,"tons","western",4,"summer"
100,20,5,50,80,90,59031,"tons","western",4,"summer"
100,20,5,50,80,90,59032,"tons","western",4,"summer"
100,20,5,50,80,90,59033,"tons","western",4,"summer"
100,20,5,50,80,90,59034,"tons","western",4,"summer"
100,20,5,50,80,90,59035,"tons","western",4,"summer"
100,20,5,50,80,90,59036,"tons","western",4,"summer"
100,20,5,50,80,90,59037,"tons","western",4,"summer"
100,20,5,50,80,90,59038,"tons","western",4,"summer"
100,20,5,50,80,90,59039,"tons","western",4,"summer"
100,20,5,50,80,90,59040,"tons","western",4,"summer"
100,20,5,50,80,90,59041,"tons","western",4,"summer"
100,20,5,50,80,90,59042,"tons","western",4,"summer"
100,20,5,50,80,90,59043,"tons","western",4,"summer"
100,20,5,50,80,90,59044,"tons","western",4,"summer"
100,20,5,50,80,90,59045,"tons","western",4,"summer"
100,20,5,50,80,90,59046,"tons","western",4,"summer"
100,20,5,50,80,90,59047,"tons","western",4,"summer"
100,20,5,50,80,90,59048,"tons","western",4,"summer"
100,20,5,50,80,90,59049,"tons","western",4,"summer"
100,20,5,50,80,90,59050,"tons","western",4,"summer"
100,20,5,50,80,90,59051,"tons","western",4,"summer"
100,20,5,50,80,90,59052,"tons","western",4,"summer"
100,20,5,50,80,90,59053,"tons","western",4,"summer"
100,20,5,50,80,90,59054,"tons","western",4,"summer"
100,20,5,50,80,90,59055,"tons","western",4,"summer"
100,20,5,50,80,90,59056,"tons","western",4,"summer"
100,20,5,50,80,90,59057,"tons","western",4,"summer"
100,20,5,50,80,90,59058,"tons","western",4,"summer"
100,20,5,50,80,90,59059,"tons","western",4,"summer"
100,20,5,50,80,90,59060,"tons","western",4,"summer"
100,20,5,50,80,90,59061,"tons","western",4,"summer"
100,20,5,50,80,90,59062,"tons","western",4,"summer"
100,20,5,50,80,90,59063,"tons","western",4,"summer"
100,20,5,50,80,90,59064,"tons","western",4,"summer"
100,20,5,50,80,90,59065,"tons","western",4,"summer"
100,20,5,50,80,90,59066,"tons","western",4,"summer"
100,20,5,50,80,90,59067,"tons","western",4,"summer"
100,20,5,50,80,90,59068,"tons","western",4,"summer"
100,20,5,50,80,90,59069,"tons","western",4,"summer"
100,20,5,50,80,90,59070,"tons","western",4,"summer"
100,20,5,50,80,90,59071,"tons","western",4,"summer"
100,20,5,50,80,90,59072,"tons","western",4,"summer"
100,20,5,50,80,90,59073,"tons","western",4,"summer"
100,20,5,50,80,90,59074,"tons","western",4,"summer"
100,20,5,50,80,90,59075,"tons","western",4,"summer"
100,20,5,50,80,90,59076,"tons","western",4,"summer"
100,20,5,50,80,90,59077,"tons","western",4,"summer"
100,20,5,50,80,90,59078,"tons","western",4,"summer"
100,20,5,50,80,90,59079,"tons","western",4,"summer"
100,20,5,50,80,90,59080,"tons","western",4,"summer"
