GeneratorName=FCCS   3.0,GeneratorVersion=3.0.0,DateCreated=07/18/2016
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
266001,sobolSamplefb,39,210,11.434501,6.125625,1.939781,0,3.342033,0,2.042035,1.47537,3.52711,0.295418,75,75,0.25489,0.1,75,75,0.02666,0.13137,0.36699,3,2,0.2,0.5,1,0.2,0,0.10379,0,1,0.26985,0,0,0,0,0,0,0,0,0,1,7.2,0.233521,0,0,43.99004,9,9
266002,sobolSamplefb,39,210,11.434501,6.125625,1.939781,0,3.342033,0,2.042035,1.47537,5.20542,0.295418,75,75,0.4047,0.1,75,75,0.085,0.05576,0.32027,3,2,0.2,0.5,1,0.2,0,0.10379,0,1,0,0,0,0,0,0,0,0,0,0,1,7.2,0.233521,0,0,43.99004,9,9
266003,sobolSamplefb,39,210,11.434501,6.125625,1.939781,0,3.342033,0,2.042035,1.47537,14.78236,0.295418,75,75,1.11841,0.1,75,75,0.10608,0.94669,0.83855,3,2,0.2,0.5,1,0.2,0,0.10379,0,1,0.52373,0,0,0,0,0,0,0,0,0,1,7.2,0.233521,0,0,43.99004,9,9
266004,sobolSamplefb,39,210,11.434501,6.125625,1.939781,0,3.342033,0,2.042035,1.47537,2.67455,0.295418,75,75,0.16257,0.1,75,75,0.02612,0.08587,0.97077,3,2,0.2,0.5,1,0.2,0,0.10379,0,1,3.77727,0,0,0,0,0,0,0,0,0,1,7.2,0.233521,0,0,43.99004,9,9
266005,sobolSamplefb,39,210,11.434501,6.125625,1.939781,0,3.342033,0,2.042035,1.47537,2.58955,0.295418,75,75,0.46338,0.1,75,75,0.03313,0.11383,0.54218,3,2,0.2,0.5,1,0.2,0,0.10379,0,1,0.84035,0,0,0,0,0,0,0,0,0,1,7.2,0.233521,0,0,43.99004,9,9
266006,sobolSamplefb,39,210,11.434501,6.125625,1.939781,0,3.342033,0,2.042035,1.47537,1.11753,0.295418,75,75,0.11834,0.1,75,75,0.0291,0.16221,0.79096,3,2,0.2,0.5,1,0.2,0,0.10379,0,1,1.52022,0,0,0,0,0,0,0,0,0,1,7.2,0.233521,0,0,43.99004,9,9
266007,sobolSamplefb,39,210,11.434501,6.125625,1.939781,0,3.342033,0,2.042035,1.47537,3.36885,0.295418,75,75,0.32542,0.1,75,75,0.07123,0.06714,0.51411,3,2,0.2,0.5,1,0.2,0,0.10379,0,1,0,0,0,0,0,0,0,0,0,0,1,7.2,0.233521,0,0,43.99004,9,9
266008,sobolSamplefb,39,210,11.434501,6.125625,1.939781,0,3.342033,0,2.042035,1.47537,4.31151,0.295418,75,75,0.38541,0.1,75,75,0.15853,0.32239,0.21206,3,2,0.2,0.5,1,0.2,0,0.10379,0,1,2.46801,0,0,0,0,0,0,0,0,0,1,7.2,0.233521,0,0,43.99004,9,9
266009,sobolSamplefb,39,210,11.434501,6.125625,1.939781,0,3.342033,0,2.042035,1.47537,3.73654,0.295418,75,75,0.34744,0.1,75,75,0.071,0.49227,2.22209,3,2,0.2,0.5,1,0.2,0,0.10379,0,1,0.81172,0,0,0,0,0,0,0,0,0,1,7.2,0.233521,0,0,43.99004,9,9
266010,sobolSamplefb,39,210,11.434501,6.125625,1.939781,0,3.342033,0,2.042035,1.47537,4.78692,0.295418,75,75,0.76967,0.1,75,75,0.04968,0.01673,0.57507,3,2,0.2,0.5,1,0.2,0,0.10379,0,1,2.21914,0,0,0,0,0,0,0,0,0,1,7.2,0.233521,0,0,43.99004,9,9
