fuelbeds,filename,c_total,c_canopy,c_shrub,c_herb,c_wood,c_llm,c_ground,c_total_f,c_canopy_f,c_shrub_f,c_herb_f,c_wood_f,c_llm_f,c_ground_f,c_total_s,c_canopy_s,c_shrub_s,c_herb_s,c_wood_s,c_llm_s,c_ground_s,c_total_r,c_canopy_r,c_wood_r,c_llm_r,c_ground_r,ch4,co,co2,nmhc,pm,pm10,pm25,e_ch4_f,e_co_f,e_co2_f,e_nmhc_f,e_pm_f,e_pm10_f,e_pm25_f,e_ch4_s,e_co_s,e_co2_s,e_nmhc_s,e_pm_s,e_pm10_s,e_pm25_s,e_ch4_r,e_co_r,e_co2_r,e_nmhc_r,e_pm_r,e_pm10_r,e_pm25_r,c_overstory_crown,c_midstory_crown,c_understory_crown,c_snagc1f_crown,c_snagc1f_wood,c_snagc1_wood,c_snagc2_wood,c_snagc3_wood,c_ladder,c_shrub_1live,c_shrub_2live,c_herb_1live,c_herb_2live,c_piles,c_wood_1hr,c_wood_10hr,c_wood_100hr,c_wood_s1000hr,c_wood_r1000hr,c_wood_s10khr,c_wood_r10khr,c_wood_s+10khr,c_wood_r+10khr,c_stump_sound,c_stump_rotten,c_stump_lightered,c_litter,c_lichen,c_moss,c_upperduff,c_lowerduff,c_basal,c_squirrel,ch4_canopy,ch4_shrub,ch4_herb,ch4_wood,ch4_llm,ch4_ground,co_canopy,co_shrub,co_herb,co_wood,co_llm,co_ground,co2_canopy,co2_shrub,co2_herb,co2_wood,co2_llm,co2_ground,nmhc_canopy,nmhc_shrub,nmhc_herb,nmhc_wood,nmhc_llm,nmhc_ground,pm_canopy,pm_shrub,pm_herb,pm_wood,pm_llm,pm_ground,pm10_canopy,pm10_shrub,pm10_herb,pm10_wood,pm10_llm,pm10_ground,pm25_canopy,pm25_shrub,pm25_herb,pm25_wood,pm25_llm,pm25_ground,heat_total,heat_flaming,heat_smoldering,heat_residual
52001,sobolSamplefb,17.62,7.86,0.5,0.19,7.86,1.21,0.0,11.03,6.71,0.45,0.18,2.61,1.09,0.0,3.26,0.82,0.05,0.02,2.26,0.12,0.0,3.32,0.33,2.99,0.0,0.0,129.24,2858.65,57090.67,102.94,527.45,368.55,335.53,33.1,982.06,37528.09,39.72,207.45,126.9,110.34,47.62,929.63,9691.04,31.31,158.53,119.71,111.56,48.51,946.95,9871.54,31.9,161.48,121.94,113.63,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.3,0.3,1.69,3.86,0.18,0.0,0.02,0.12,0.0,1.18,0.0,0.03,0.0,0.0,0.0,0.0,36.88,2.06,0.81,84.46,5.02,0.0,924.04,53.9,21.15,1728.23,131.32,0.0,26224.41,1666.74,653.98,24475.53,4070.01,0.0,35.16,2.08,0.82,59.79,5.08,0.0,181.88,10.81,4.24,304.17,26.35,0.0,119.25,6.96,2.73,222.65,16.95,0.0,106.32,6.16,2.42,205.61,15.02,0.0,281903006.7,176550854.84,52190030.47,53162121.39
52002,sobolSamplefb,15.12,7.86,0.5,0.19,3.55,1.21,1.81,10.63,6.71,0.45,0.18,2.03,1.09,0.18,3.18,0.82,0.05,0.02,0.9,0.12,1.27,1.31,0.33,0.62,0.0,0.36,97.45,2225.97,49503.95,81.38,418.11,287.06,259.89,31.9,946.39,36164.87,38.28,199.91,122.29,106.34,46.41,905.93,9443.87,30.52,154.48,116.66,108.71,19.14,373.66,3895.2,12.59,63.72,48.12,44.84,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.34,0.4,1.07,0.0,0.21,0.0,0.02,0.12,0.0,1.18,0.0,0.03,1.81,0.0,0.0,0.0,36.88,2.06,0.81,28.33,5.02,24.35,924.04,53.9,21.15,614.8,131.32,480.75,26224.41,1666.74,653.98,11429.19,4070.01,5459.61,35.16,2.08,0.82,21.93,5.08,16.3,181.88,10.81,4.24,112.19,26.35,82.64,119.25,6.96,2.73,79.25,16.95,61.91,106.32,6.16,2.42,72.4,15.02,57.57,241973744.54,170137604.29,50858961.89,20977178.36
52003,sobolSamplefb,12.53,7.86,0.5,0.19,2.68,1.21,0.09,10.1,6.71,0.45,0.18,1.66,1.09,0.01,1.62,0.82,0.05,0.02,0.55,0.12,0.06,0.82,0.33,0.47,0.0,0.02,65.83,1592.35,41566.79,59.72,308.11,205.45,184.22,30.29,898.46,34333.23,36.34,189.79,116.09,100.95,23.64,461.41,4809.98,15.54,78.68,59.42,55.37,11.91,232.49,2423.58,7.83,39.65,29.94,27.9,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.4,0.4,0.0,0.0,0.35,0.0,0.02,0.12,0.0,1.18,0.0,0.03,0.09,0.0,0.0,0.0,36.88,2.06,0.81,19.85,5.02,1.2,924.04,53.9,21.15,438.2,131.32,23.74,26224.41,1666.74,653.98,8682.06,4070.01,269.59,35.16,2.08,0.82,15.76,5.08,0.81,181.88,10.81,4.24,80.75,26.35,4.08,119.25,6.96,2.73,56.49,16.95,3.06,106.32,6.16,2.42,51.45,15.02,2.84,200476204.97,161520658.05,25903619.07,13051927.86
52004,sobolSamplefb,14.2,7.86,0.5,0.19,4.44,1.21,0.0,10.52,6.71,0.45,0.18,2.1,1.09,0.0,2.17,0.82,0.05,0.02,1.17,0.12,0.0,1.51,0.33,1.18,0.0,0.0,85.27,1984.84,46719.26,73.19,376.6,256.01,231.02,31.57,936.64,35792.19,37.89,197.85,121.03,105.24,31.71,619.09,6453.74,20.85,105.57,79.72,74.29,21.98,429.11,4473.33,14.45,73.18,55.26,51.49,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.35,0.37,1.02,0.97,0.21,0.0,0.02,0.12,0.0,1.18,0.0,0.03,0.0,0.0,0.0,0.0,36.88,2.06,0.81,40.49,5.02,0.0,924.04,53.9,21.15,854.42,131.32,0.0,26224.41,1666.74,653.98,14104.12,4070.01,0.0,35.16,2.08,0.82,30.05,5.08,0.0,181.88,10.81,4.24,153.32,26.35,0.0,119.25,6.96,2.73,110.11,16.95,0.0,106.32,6.16,2.42,101.1,15.02,0.0,227230890.97,168384330.78,34755911.77,24090648.42
52005,sobolSamplefb,17.49,7.86,0.5,0.19,5.01,1.21,2.73,11.07,6.71,0.45,0.18,2.37,1.09,0.27,4.33,0.82,0.05,0.02,1.41,0.12,1.91,2.1,0.33,1.22,0.0,0.55,127.01,2816.22,56727.31,101.53,520.33,363.09,330.42,33.2,984.9,37636.64,39.84,208.05,127.26,110.66,63.17,1233.19,12855.47,41.54,210.29,158.8,147.98,30.64,598.13,6235.2,20.15,102.0,77.02,71.78,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.29,0.38,1.82,0.8,0.18,0.0,0.02,0.12,0.0,1.18,0.0,0.03,2.73,0.0,0.0,0.0,36.88,2.06,0.81,45.61,5.02,36.63,924.04,53.9,21.15,962.45,131.32,723.35,26224.41,1666.74,653.98,15897.48,4070.01,8214.69,35.16,2.08,0.82,33.85,5.08,24.53,181.88,10.81,4.24,172.71,26.35,124.34,119.25,6.96,2.73,124.03,16.95,93.16,106.32,6.16,2.42,113.88,15.02,86.62,279872253.76,177061512.81,69231731.34,33579009.62
52006,sobolSamplefb,18.71,7.86,0.5,0.19,6.04,1.21,2.91,11.14,6.71,0.45,0.18,2.43,1.09,0.29,4.75,0.82,0.05,0.02,1.71,0.12,2.04,2.82,0.33,1.91,0.0,0.58,143.96,3149.32,60383.83,112.79,577.41,405.98,370.34,33.42,991.53,37889.85,40.11,209.45,128.12,111.41,69.39,1354.49,14120.01,45.63,230.98,174.42,162.54,41.15,803.29,8373.96,27.06,136.98,103.44,96.4,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.3,0.32,1.67,2.03,0.18,0.0,0.02,0.12,0.0,1.18,0.0,0.03,2.91,0.0,0.0,0.0,36.88,2.06,0.81,60.05,5.02,39.13,924.04,53.9,21.15,1246.18,131.32,772.72,26224.41,1666.74,653.98,18993.3,4070.01,8775.38,35.16,2.08,0.82,43.44,5.08,26.2,181.88,10.81,4.24,221.3,26.35,132.82,119.25,6.96,2.73,160.57,16.95,99.52,106.32,6.16,2.42,147.89,15.02,92.53,299391625.98,178252759.09,76041789.56,45097077.33
52007,sobolSamplefb,15.48,7.86,0.5,0.19,2.68,1.21,3.04,10.39,6.71,0.45,0.18,1.66,1.09,0.3,3.69,0.82,0.05,0.02,0.55,0.12,2.13,1.41,0.33,0.47,0.0,0.61,105.5,2375.69,50462.68,86.28,442.76,306.33,278.02,31.17,924.73,35337.05,37.4,195.34,119.49,103.9,53.8,1050.23,10948.16,35.38,179.09,135.24,126.03,20.53,400.73,4177.47,13.5,68.34,51.6,48.09,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.4,0.4,0.0,0.0,0.35,0.0,0.02,0.12,0.0,1.18,0.0,0.03,3.04,0.0,0.0,0.0,36.88,2.06,0.81,19.85,5.02,40.87,924.04,53.9,21.15,438.2,131.32,807.07,26224.41,1666.74,653.98,8682.06,4070.01,9165.47,35.16,2.08,0.82,15.76,5.08,27.37,181.88,10.81,4.24,80.75,26.35,138.73,119.25,6.96,2.73,56.49,16.95,103.94,106.32,6.16,2.42,51.45,15.02,96.64,247700542.05,166243091.76,58960151.96,22497298.33
52008,sobolSamplefb,17.04,7.86,0.5,0.19,3.27,1.21,4.02,10.74,6.71,0.45,0.18,1.92,1.09,0.4,4.6,0.82,0.05,0.02,0.78,0.12,2.81,1.7,0.33,0.56,0.0,0.8,124.2,2751.49,55252.93,99.15,508.13,354.74,322.87,32.23,956.13,36537.09,38.67,201.97,123.54,107.43,67.21,1312.04,13677.4,44.19,223.74,168.95,157.44,24.76,483.32,5038.44,16.28,82.42,62.24,58.0,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.39,0.4,0.71,0.0,0.23,0.0,0.02,0.12,0.0,1.18,0.0,0.03,4.02,0.0,0.0,0.0,36.88,2.06,0.81,25.42,5.02,54.01,924.04,53.9,21.15,554.63,131.32,1066.44,26224.41,1666.74,653.98,10526.83,4070.01,12110.95,35.16,2.08,0.82,19.84,5.08,36.16,181.88,10.81,4.24,101.53,26.35,183.31,119.25,6.96,2.73,71.5,16.95,137.34,106.32,6.16,2.42,65.25,15.02,127.7,272680822.8,171888672.22,73658182.87,27133967.71
52009,sobolSamplefb,16.21,7.86,0.5,0.19,3.85,1.21,2.61,10.49,6.71,0.45,0.18,1.8,1.09,0.26,3.74,0.82,0.05,0.02,0.91,0.12,1.83,1.99,0.33,1.14,0.0,0.52,115.09,2565.85,52680.3,92.74,475.53,330.82,300.77,31.46,933.19,35660.61,37.75,197.12,120.58,104.85,54.59,1065.63,11108.74,35.89,181.72,137.22,127.88,29.05,567.02,5910.96,19.1,96.69,73.02,68.04,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.4,0.36,0.09,1.14,0.33,0.0,0.02,0.12,0.0,1.18,0.0,0.03,2.61,0.0,0.0,0.0,36.88,2.06,0.81,35.26,5.02,35.05,924.04,53.9,21.15,743.21,131.32,692.22,26224.41,1666.74,653.98,12203.96,4070.01,7861.2,35.16,2.08,0.82,26.12,5.08,23.47,181.88,10.81,4.24,133.26,26.35,118.99,119.25,6.96,2.73,95.77,16.95,89.15,106.32,6.16,2.42,87.96,15.02,82.89,259423024.52,167765275.34,59824937.92,31832811.26
52010,sobolSamplefb,26.08,7.86,0.5,0.19,14.12,1.21,2.2,14.1,6.71,0.45,0.18,5.45,1.09,0.22,7.43,0.82,0.05,0.02,4.88,0.12,1.54,4.55,0.33,3.78,0.0,0.44,217.2,4668.88,83535.94,165.76,847.24,601.78,550.68,42.29,1254.63,47943.86,50.75,265.02,162.12,140.97,108.42,2116.34,22061.93,71.29,360.89,272.53,253.96,66.49,1297.91,13530.15,43.72,221.33,167.13,155.75,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.23,0.31,9.2,2.7,0.14,0.0,0.02,0.12,0.0,1.18,0.0,0.03,2.2,0.0,0.0,0.0,36.88,2.06,0.81,142.87,5.02,29.55,924.04,53.9,21.15,2954.93,131.32,583.54,26224.41,1666.74,653.98,44293.87,4070.01,6626.92,35.16,2.08,0.82,102.82,5.08,19.79,181.88,10.81,4.24,523.66,26.35,100.31,119.25,6.96,2.73,380.73,16.95,75.15,106.32,6.16,2.42,350.88,15.02,69.88,417229122.77,225551817.11,118812152.75,72865152.92
