Std,LitPre,LitCon,LitPos,DW1Pre,DW1Con,DW1Pos,DW10Pre,DW10Con,DW10Pos,DW100Pre,DW100Con,DW100Pos,DW1kSndPre,DW1kSndCon,DW1kSndPos,DW1kRotPre,DW1kRotCon,DW1kRotPos,DufPre,DufCon,DufPos,HerPre,HerCon,HerPos,ShrPre,ShrCon,ShrPos,FolPre,FolCon,FolPos,BraPre,BraCon,BraPos,MSEPer,DufDepPre,DufDepCon,DufDepPos,PM10F,PM10S,PM25F,PM25S,CH4F,CH4S,COF,COS,CO2F,CO2S,NOXF,NOXS,SO2F,SO2S,FlaDur,SmoDur,FlaCon,SmoCon
"8001", 3.01, 3.01, 0.00, 0.06, 0.06, 0.00, 0.11, 0.11, 0.00, 1.03, 1.03, 0.00,40.00,17.36,22.64,17.00, 7.68, 9.32,31.68,15.72,15.96, 0.22, 0.22, 0.00, 5.84, 3.50, 2.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 41,2243, 35,1901, 11,1155, 88,25331,23911,103104, 43,  0, 13, 84,    60,  8010,  6.72, 41.97
"8002", 5.29, 5.29, 0.00, 0.03, 0.03, 0.00, 0.14, 0.14, 0.00, 1.11, 1.11, 0.00,40.00,17.47,22.53,17.00, 7.69, 9.31,31.68,15.72,15.96, 2.73, 2.73, 0.00, 5.78, 3.47, 2.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 71,2254, 60,1910, 18,1160,150,25447,40841,103578, 74,  0, 23, 84,    60,  8310, 11.48, 42.16
"8003", 5.84, 5.84, 0.00, 0.14, 0.14, 0.00, 0.58, 0.58, 0.00, 1.03, 1.03, 0.00,40.00,17.72,22.28,17.00, 7.76, 9.24,31.68,15.72,15.96, 3.49, 3.49, 0.00, 3.18, 1.91, 1.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 69,2297, 58,1947, 18,1183,146,25939,39900,105583, 72,  0, 22, 86,    60, 10050, 11.22, 42.98
"8004", 5.48, 5.48, 0.00, 0.38, 0.38, 0.00, 0.57, 0.57, 0.00, 2.43, 2.43, 0.00,40.00,18.09,21.91,17.00, 7.88, 9.12,31.68,15.72,15.96, 0.91, 0.91, 0.00, 3.91, 2.35, 1.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 56,2388, 48,2024, 15,1230,119,26969,32502,109773, 58,  0, 18, 89,    75, 11160,  9.14, 44.68
"8005", 4.17, 4.17, 0.00, 0.12, 0.12, 0.00, 0.28, 0.28, 0.00, 0.91, 0.91, 0.00,40.00,17.44,22.56,17.00, 7.70, 9.30,31.68,15.72,15.96, 0.45, 0.45, 0.00, 2.51, 1.50, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 38,2255, 32,1911, 10,1161, 80,25462,21708,103641, 39,  0, 12, 84,    60,  8130,  6.10, 42.19
"8006", 4.10, 4.10, 0.00, 0.02, 0.02, 0.00, 0.06, 0.06, 0.00, 0.66, 0.66, 0.00,40.00,17.20,22.80,17.00, 7.61, 9.39,31.68,15.72,15.96, 2.34, 2.34, 0.00, 2.15, 1.29, 0.86, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 47,2206, 40,1869, 12,1136,101,24909,27450,101388, 49,  0, 15, 83,    60,  8115,  7.72, 41.27
"8007", 2.31, 2.31, 0.00, 0.11, 0.11, 0.00, 0.40, 0.40, 0.00, 0.84, 0.84, 0.00,40.00,17.43,22.57,17.00, 7.72, 9.28,31.68,15.72,15.96, 0.75, 0.75, 0.00, 5.50, 3.30, 2.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 39,2257, 33,1913, 10,1162, 83,25487,22623,103742, 41,  0, 13, 84,    60,  7965,  6.36, 42.23
"8008", 5.12, 5.12, 0.00, 0.01, 0.01, 0.00, 0.15, 0.15, 0.00, 1.46, 1.46, 0.00,40.00,17.58,22.42,17.00, 7.74, 9.26,31.68,15.72,15.96, 1.75, 1.75, 0.00, 4.04, 2.43, 1.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 57,2280, 48,1933, 15,1174,121,25750,33062,104812, 60,  0, 19, 85,    60,  8250,  9.30, 42.66
"8009", 7.36, 7.36, 0.00, 0.68, 0.68, 0.00, 0.27, 0.27, 0.00, 0.76, 0.76, 0.00,40.00,17.66,22.34,17.00, 7.67, 9.33,31.68,15.72,15.96, 0.74, 0.74, 0.00, 3.57, 2.14, 1.43, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 67,2250, 57,1907, 17,1158,142,25403,38759,103401, 70,  0, 22, 84,    75, 13125, 10.90, 42.09
"8010", 6.57, 6.57, 0.00, 0.42, 0.42, 0.00, 0.06, 0.06, 0.00, 0.06, 0.06, 0.00,40.00,17.13,22.87,17.00, 7.50, 9.50,31.68,15.72,15.96, 2.05, 2.05, 0.00, 6.55, 3.93, 2.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 80,2164, 68,1834, 21,1114,169,24434,46101,99455, 83,  0, 26, 81,    75, 11805, 12.96, 40.48
