subplot_id,network,site,plot,subplot,year,east_ae,north_ae,SAFSRM,EVG_GP,EVG_GP_N,os_loading_Mgha,snag_loading_Mgha,shrub_loading_Mgha,herb_loading_Mgha,10hr_loading_Mgha,100hr_loading_Mgha,1KhrS_loading_Mgha,1KhrR_loading_Mgha,litter_depth_,litter_loading_Mgha,duff_depth_,duff_loading_Mgha
WJ-BC-BC005,WJ,BC,burn,5,6,-1896415.55545000000,1036995.13827000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,19.98100000000,1.26700000000,0.00000000000,1.14300000000,0.43000000000,0.44100000000,0.00000000000,0.00000000000,1.40000000000,0.67900000000,1.70000000000,2.49700000000
WJ-BC-BC007,WJ,BC,burn,7,6,-1896269.85700000000,1036960.16155000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,7.78300000000,0.33000000000,0.00000000000,3.28900000000,0.97000000000,1.43400000000,0.00000000000,0.00000000000,1.80000000000,0.34800000000,3.00000000000,2.15800000000
WJ-BC-BC007,WJ,BC,burn,7,7,-1896269.85700000000,1036960.16155000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.50600000000,0.27700000000,0.11000000000,0.00000000000,0.00000000000,0.20000000000,NA,0.00000000000,NA
WJ-BC-BC007,WJ,BC,burn,7,8,-1896269.85700000000,1036960.16155000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,3.26600000000,0.49900000000,0.44100000000,0.00000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC007,WJ,BC,burn,7,9,-1896269.85700000000,1036960.16155000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,3.26600000000,0.49900000000,0.44100000000,0.00000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC007,WJ,BC,burn,7,12,-1896269.85700000000,1036960.16155000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,7.75900000000,0.38800000000,0.33100000000,0.32900000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC007,WJ,BC,burn,7,16,-1896269.85700000000,1036960.16155000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,2.98100000000,0.14000000000,0.00000000000,5.38200000000,3.36800000000,1.65400000000,1.19400000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC008,WJ,BC,burn,8,6,-1896191.59996000000,1036901.33601000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,6.38100000000,0.39600000000,0.00000000000,2.77500000000,0.65100000000,2.20600000000,0.00000000000,0.00000000000,1.80000000000,0.62800000000,3.90000000000,1.96600000000
WJ-BC-BC008,WJ,BC,burn,8,7,-1896191.59996000000,1036901.33601000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.75900000000,0.12500000000,0.00000000000,0.00000000000,0.00000000000,0.60000000000,0.16500000000,2.80000000000,0.14600000000
WJ-BC-BC008,WJ,BC,burn,8,8,-1896191.59996000000,1036901.33601000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,2.86000000000,0.16600000000,0.11000000000,0.00000000000,0.00000000000,NA,NA,NA,NA
