Fuelbed_nu,PLOT_ID,SUBPLOT_ID,x,y,lon,lat,Fuelbed_Type,SAFSRM,EVT_GP,EVT_GP_N,us_loading_Mgha,ms_loading_Mgha,os_loading_Mgha,tree_crown_loading_Mgha,tree_loading_Mgha,snag_loading_Mgha,shrub_loading_Mgha,herb_loading_Mgha,1hr_loading_Mgha,10hr_loading_Mgha,100hr_loading_Mgha,1KhrS_loading_Mgha,1KhrR_loading_Mgha,1Khr_loading_Mgha,10KhrS_loading_Mgha,10KhrR_loading_Mgha,10Khr_loading_Mgha,GT10KhrS_loading_Mgha,GT10KhrR_loading_Mgha,litter_depth_,litter_loading_Mgha
1,2,0,453191.518,3654124.598,-81.501213,33.02459015,Hardwood forest 41-60   years,SAF 72: Southern Scrub Oak,666,Eastern Floodplain Forests,3.069341271,12.79703786,26.74212992,42.60850905,152.7945192,0,1.670678413,0.381089393,0.403506416,3.72122606,4.169566523,0,3.72122606,3.72122606,0.336255347,2.01753217,2.353787516,0,0,6.09600061,10.76017109
2,2,4,453385.73,3654148.025,-81.49913469,33.02480979,Hardwood forest 60+ years,SAF 72: Southern Scrub Oak,666,Eastern Floodplain Forests,11.59017258,26.33258884,19.35531954,57.27808097,206.2182307,0,0.62157025,0.403506416,0.381089393,4.931745084,9.392732683,0,10.33424765,10.33424765,0.672510693,1.905446964,2.577957658,0.336255347,0.336255347,7.62,13.45021499
3,2,1,452927.176,3654386.003,-81.50405683,33.02693662,Hardwood forest 60+ years,SAF 72: Southern Scrub Oak,666,Eastern Floodplain Forests,2.929163814,18.05218885,18.37531454,39.35666721,184.1941242,0,0.387998364,0.874263946,0.336255347,4.326485684,6.254349896,0,2.084783306,2.084783306,0.672510693,1.905446964,2.577957658,0.336255347,0.336255347,5.334,9.415150379
4,3,0,451589.827,3654921.947,-81.51840499,33.03171215,Bald-cypress - Water   tupelo forest,SAF 72: Southern Scrub Oak,666,Eastern Floodplain Forests,2.870281692,14.71172825,16.14716467,33.72917462,155.0783207,13.74811951,0.854770125,0.560425578,0.313838324,4.326485684,7.307949982,0,12.35177973,12.35177973,0,0,0,1.120851156,0,6.858000305,18.49068375
5,3,6,451596.147,3654728.596,-81.51832711,33.02996841,Hardwood forest 60+ years,SAF 72: Southern Scrub Oak,666,Eastern Floodplain Forests,4.398579056,26.05165199,15.75491115,46.20514219,189.4196085,0,0.879194638,0.874263946,0.269004289,3.72122606,4.707575077,0,1.076017154,1.076017154,0.672510693,1.905446964,2.577957658,0.336255347,0.336255347,6.604000102,11.65685269
6,3,2,451602.211,3655338.614,-81.51829439,33.03547102,Bald-cypress - Water   tupelo forest,SAF 72: Southern Scrub Oak,666,Eastern Floodplain Forests,4.160413877,14.43438843,19.11450916,37.70931146,307.1233715,0,0.625024713,0.291421323,0.493174531,5.671507295,15.13149172,4.707575077,8.383967091,13.09154217,0,0,0,1.120851156,0,6.350000203,17.12100207
7,7,0,452393.099,3656542.748,-81.50988759,33.04636716,Bald-cypress - Water   tupelo forest,SAF 72: Southern Scrub Oak,666,Eastern Floodplain Forests,5.229079996,21.28303334,11.22536848,37.73748182,400.1023014,0,0.522358155,0.269004289,0.201753208,1.793361849,3.13838346,0,10.0876604,10.0876604,0,0,0,1.120851156,0,10.1600002,27.39360224
8,7,2,452394.491,3656735.226,-81.50988268,33.04810336,Bald-cypress - Water   tupelo forest,SAF 72: Southern Scrub Oak,666,Eastern Floodplain Forests,0,26.04829167,23.94655005,49.99484172,290.9077264,0,0.772412157,0.627676647,0.403506416,4.774825922,8.361550293,0,3.295302397,3.295302397,0,0,0,1.120851156,0,7.366000102,19.86036387
9,7,6,452373.363,3656152.02,-81.51007865,33.04284194,Bald-cypress - Water   tupelo forest,SAF 72: Southern Scrub Oak,666,Eastern Floodplain Forests,0,25.23253844,13.83219321,39.06473166,410.0550561,0,0.374393406,0.156919162,0.358672392,4.169566523,6.792358451,0,2.577957882,2.577957882,0,0,0,1.120851156,0,9.398000203,25.33908207
10,8,0,453217.6156,3657357.727,-81.50109864,33.05375401,Bald-cypress - Water   tupelo forest,SAF 72: Southern Scrub Oak,666,Eastern Floodplain Forests,0.360848301,26.93284051,35.2664361,62.5601249,473.1369402,0,0.241840472,0.179336198,0.089668099,1.188102292,4.169566523,87.40397311,0,87.40397311,0,0,0,1.120851156,0,6.858000305,18.49068375
