studyPointID,LFEVTGroupCd_FINAL,os_loading,ms_loading,us_loading,tree_loading,snag_loading,shrub_loading,herb_loading,herb_percentlive,moss_loading,lichen_loading,litter_loading,litter_depth,duff_loading,duff_depth,1hr_loading,10hr_loading,100hr_loading,fwd_loading,1000hrS_loading,1000hrR_loading,1000hr_loading,10000hrS_loading,10000hrR_loading,10000hr_loading,GT10000hrS_loading,GT10000hrR_loading,GT10000hr_loading,cwd_sound_loading,cwd_rotten_loading,cwd_loading
2,1020,,,,,,,,,,,0.03,2.79,0.11,3.78,,,,,,,,,,,,,,,,
3,1020,,,,,,,,,,,0.03,2.88,0.08,3.62,,,,,,,,,,,,,,,,
4,639,,,,,,,,,,,0.02,2.15,0.07,2.29,,,,,,,,,,,,,,,,
5,627,,,,,,,,,,,,,,4.2,0.9,0.6,0.5,2,5.2,5.5,10.7,,,,,,,,,
6,638,,,,,,,,,,,,,,10.1,0.7,1,1.4,3.1,11.4,18.6,30,,,,,,,,,
7,645,,,,,,,,,,,,,,4.6,0.1,0.5,0.9,1.5,28.1,22.9,51,,,,,,,,,
8,635,,,,,,,,,,,,,,3.2,0.1,1.1,1.9,3.1,0.3,0,0.3,,,,,,,,,
9,632,,,,,,,,,,,,,,1,0.6,1,1.4,3,24.1,0.7,24.8,,,,,,,,,
10,627,,,,,,,,,,,,,,13.5,0.2,0.7,0.6,1.5,20.4,5.9,26.3,,,,,,,,,
11,622,,,,,,,,,,,,,,28.8,0.1,0.1,0.1,0.3,0.3,0,0.3,,,,,,,,,
12,631,,,,,,,,,,,4.8,,6.1,,0.2,1,1.4,2.6,5,2.8,7.8,,,,,,,,,
13,643,,,,,,,,,,,5,,12.3,,0.7,1.3,3.3,5.3,8.3,10.3,18.6,,,,,,,,,
14,614,,,,,,,,,,,1.37,0.13,27.04,1.73,1.65,2.11,0.68,4.44,0.17,0,0.17,,,,,,,,,
15,610,,,,,,,,,,,1.51,0.53,12.22,1.27,0.29,0.41,0.3,1,0,0,0,,,,,,,,,
16,640,,,,,,,,,,,0.79,0.07,16.28,0.63,0.83,0.62,0,1.45,0,0,0,,,,,,,,,
17,626,,,,,,,,,,,2.02,0.15,62.86,3.41,0.58,1.8,3.38,5.76,4.66,0,4.66,,,,,,,,,
18,626,,,,,,,,,,,1.2,0.08,37.32,1.92,1.09,1.26,0.62,2.97,1.42,0,1.42,,,,,,,,,
19,626,,,,,,,,,,,1.68,0.44,39.99,2.12,0.11,0.87,0.33,1.31,0,0,0,,,,,,,,,
20,1029,,,,,,,,,,,2.61,0.67,21.57,1.1,0.31,0.33,0.41,1.05,0,0,0,,,,,,,,,
21,621,,,,,,,,,,,3.32,0.28,71.4,2.74,0.67,0.96,2.03,3.66,2.2,0,2.2,,,,,,,,,
22,622,,,,,,,,,,,1.86,0.17,25.84,1.39,0.37,0.63,0.78,1.78,0.17,0,0.17,,,,,,,,,
23,627,,,,,,,,,,,1.92,0.14,48.55,2.38,0.97,1.11,0.82,2.9,0.81,0,0.81,,,,,,,,,
24,631,,,,,,,,,,,2.51,0.74,50.45,3.1,0.06,0.96,1.16,2.18,1.91,0.35,2.26,,,,,,,,,
25,633,,,,,,,,,,,0.69,0.06,39.25,1.92,2.35,3.05,2.26,7.66,0.62,0.62,1.24,,,,,,,,,
26,630,,,,,,,,,,,2.53,0.19,35.16,1.28,0.97,0.5,0,1.47,0,0,0,,,,,,,,,
27,626,,,,,,,,,,,3.31,0.83,38.89,2.35,0.64,0.79,1.74,3.17,0.38,0.04,0.42,,,,,,,,,
28,631,,,,,,,,,,,1.57,0.26,29.39,1.44,0.08,0.48,0.12,0.68,0.1,0,0.1,,,,,,,,,
29,620,,,,,,,,,,,0.35,0.04,10.19,0.5,0.17,0.49,0.35,1.01,0,0,0,,,,,,,,,
30,1018,,,,,,,,,,,0.57,0.1,11.42,0.71,0.4,0.72,0.39,1.51,0,0,0,,,,,,,,,
31,626,,,,,,,,,,,0.57,0.06,35.57,2.54,1.29,1.65,0.87,3.81,0.78,0.01,0.79,,,,,,,,,
32,640,,,,,,,,,,,1.2,0.19,40.69,1.94,0.44,0.45,0.38,1.27,0.55,0.58,1.13,,,,,,,,,
33,607,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,
34,607,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,
35,607,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
36,607,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
37,607,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,
71,626,,,,,,,,,,,,,,,,,,,,,49.4,,,,,,,,,
72,626,,,,,,,,,,,,,,,,,,,,,170.9,,,,,,,,,
73,626,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,
74,626,,,,,,,,,,,,,,,,,,,,,21.7,,,,,,,,,
75,626,,,,,,,,,,,,,,,,,,,,,29.9,,,,,,,,,
76,626,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,
77,631,,,,,,,0.17,,,,,0.55,20.49,0.91,0.03,0.49,0.57,1.09,0.86,2.97,3.83,,,,,,,,,
78,614,,,,,,,0.18,,,,,0.55,29.69,1.38,0.33,0.92,1.44,2.69,2.08,4.5,6.58,,,,,,,,,
79,643,,,,,,,0.1,,,,,0.67,51.11,2.32,0.28,0.79,1.13,2.2,4.54,4.66,9.2,,,,,,,,,
80,645,,,,,,,0.09,,,,,0.51,55.96,2.56,0.35,1.04,1.58,2.97,7.62,16.79,24.41,,,,,,,,,
81,639,,,,,,,1,,,,,0.43,41.19,1.89,0.24,0.67,0.89,1.8,6.43,6.07,12.5,,,,,,,,,
82,622,,,,,,,0.65,,,,0.38,,,,0.16,0.59,3.13,3.88,,,,,,,,,,,,
83,622,,,,,,,0.64,,,,0.59,,,,0.22,0.68,0.61,1.51,,,,,,,,,,,,
84,622,,,,,,,0.35,,,,0.99,,,,0.21,0.69,1.42,2.32,,,,,,,,,,,,
85,622,,,,,,,0.81,,,,0.29,,,,0.13,0.72,2.59,3.44,,,,,,,,,,,,
86,614,,,,,,,0.38,,,,0.37,,,,0.13,0.62,1.64,2.39,,,,,,,,,,,,
87,614,,,,,,,0.24,,,,0.54,,,,0.29,0.95,0.84,2.08,,,,,,,,,,,,
88,614,,,,,,,0.49,,,,0.15,,,,0.25,0.93,2.35,3.53,,,,,,,,,,,,
89,639,,,,,,,1.41,,,,0.36,,,,0.07,0.43,0.48,0.98,,,,,,,,,,,,
90,639,,,,,,,0.6,,,,0.26,,,,0.11,0.69,2.82,3.62,,,,,,,,,,,,
91,639,,,,,,,0.53,,,,0.52,,,,0.18,0.87,0.79,1.84,,,,,,,,,,,,
92,639,,,,,,,0.4,,,,0.96,,,,0.12,0.63,1.93,2.68,,,,,,,,,,,,
93,643,,,,,,,0.24,,,,0.67,,,,0.22,0.51,0.01,0.74,,,,,,,,,,,,
94,645,,,,,,,0.12,,,,0.85,,,,0.3,0.77,0.74,1.81,,,,,,,,,,,,
95,631,,,,,,,0.14,,,,0.63,,,,0.12,0.42,0.74,1.28,,,,,,,,,,,,
96,631,,,,,,,,,,,,,,0.6,,0.9,1.6,,4.06,6.34,10.4,,,,,,,,,
97,614,,,,,,,,,,,,,,0.9,,1,1.8,,4.77,8.13,12.9,,,,,,,,,
98,622,,,,,,,,,,,,,,1.1,,1,2.1,,5.9,8.5,14.4,,,,,,,,,
99,644,,,,,,,,,,,,,,1.2,,1.3,2.3,,7.43,10.27,17.7,,,,,,,,,
100,639,,,,,,,,,,,,,,1.4,,1,1.9,,11.42,12.38,23.8,,,,,,,,,
101,645,,,,,,,,,,,,,,1.4,,1.3,2.7,,12.64,16.76,29.4,,,,,,,,,
102,631,,,,,,,,,,,,,,0.6,,0.5,0.6,,1.17,2.73,3.9,,,,,,,,,
103,614,,,,,,,,,,,,,,1,,0.8,1.6,,3.55,6.05,9.6,,,,,,,,,
104,622,,,,,,,,,,,,,,1.1,,0.7,1.5,,6.25,7.65,13.9,,,,,,,,,
105,639,,,,,,,,,,,,,,1.3,,0.8,1.7,,9.09,11.11,20.2,,,,,,,,,
106,649,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,
107,649,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,
108,676,,,,,,,,,,,4.51,1.26,11.28,1.46,,,,,,,,,,,,,,,,
109,652,,,,,,,,,,,4.31,1.34,10.02,1.61,,,,,,,,,,,,,,,,
110,652,,,,9.02,,,0.04,,,,,,,,,,,,,,,,,,,,,,,
111,692,,,,23.2,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
112,665,,,,17.4,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
113,676,,,,12.89,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
114,631,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,
115,631,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,
116,702,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,
117,677,,,,,,,1.23,,,,2.92,,,,,,,,,,,,,,,,,,,
118,687,,,,,,,0,,,,3.62,1.5,,,,,,,,,,,,,,,,,,
119,684,,,,,,,3.01,,,,2.57,1.5,,,,,,,,,,,,,,,,,,
120,687,,,,,,,0,,,,4.45,1,,,,,,,,,,,,,,,,,,
121,694,,,,,,,0,,,,4.41,,,,,,,,,,,,,,,,,,,
122,684,,,,,,,3.95,,,,4.05,3,,,,,,,,,,,,,,,,,,
123,687,,,,,,,0.48,,,,4.59,0.85,,,,,,,,,,,,,,,,,,
124,687,,,,,,,4.36,,,,4.01,3,,2.5,,,,,,,,,,,,,,,,
125,687,,,,,,,8.48,,,,4.7,3.5,,,,,,,,,,,,,,,,,,
126,687,,,,,,,0,,,,9.05,5,,,,,,,,,,,,,,,,,,
127,687,,,,,,,0,,,,5.36,2,,11,,,,,,,,,,,,,,,,
128,687,,,,,,,0,,,,5.36,,,16,,,,,,,,,,,,,,,,
129,648,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,
130,618,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,
131,665,,,,,,,,,,,3.35,0.6,10.15,1.5,,,,,,,,,,,,,,,,
132,676,,,,,,,,,,,1.7,0.2,,0.9,,,,,,,,,,,,,,,,
135,622,,,,,,,0.5,,,,,,,,0.12,0.44,1.41,1.97,10.85,7.78,18.63,,,,,,,,,
136,622,,,,,,,0.53,,,,,,,,0.16,0.43,0.82,1.41,9.91,14.62,24.53,,,,,,,,,
137,622,,,,,,,0.42,,,,,,,,0.18,0.53,1.45,2.16,16.63,6.11,22.74,,,,,,,,,
138,622,,,,,,,0.56,,,,,,,,0.21,0.63,1.38,2.22,4.76,4.73,9.49,,,,,,,,,
