Count,,EVT,EVT_GP,EVT_GP_Name,EVT_Group_AbbreviatedName,Sum of COUNT
2,,012 Snow-Ice,12,Snow-Ice,Snow-Ice,1929687
,,,13,Developed-Upland Deciduous Forest,Dev - Upland Hardwood,53381846
,,,14,Developed-Upland Evergreen Forest,Dev - Upland Evergreen Forest,18020404
,,,15,Developed-Upland Mixed Forest,Dev - Upland Mixed Forest,12289741
,,,16,Developed-Upland Herbaceous,Dev - Upland Herbaceous,294820147
,,,17,Developed-Upland Shrubland,Dev - Upland Shrubland,127595327
2,,021 Developed-Open Space,21,021 Developed-Open Space,Dev - OpenSpace,
1,,022 Developed-Low Intensity,22,Developed-Low Intensity,Dev - Low Intensity,75677540
,,,23,Developed-Medium Intensity,Dev - Med Intensity,41678993
,,,24,Developed-High Intensity,Dev - High Intensity,15472562
,,,25,Developed-Roads,Road,213289792
13,,031 Barren,31,Barren,Barren,103842805
,,,32,Quarries-Strip Mines-Gravel Pits,Quarry-Gravel Pit,4935237
,,,60,Agricultural-Orchard,Ag - Orchard,17474179
,,,61,Agricultural-Vineyard,Ag - Vineyard,4701137
,,,62,Agricultural-Bush fruit and berries,Ag - Bush fruit,438066
,,,63,Agricultural-Row Crop-Close Grown Crop,Ag - Row Crop,6818919
,,,64,Agricultural-Row Crop,Ag - Row,888033289
,,,65,Agricultural-Close Grown Crop,Ag - Crop,109661788
,,,66,Agricultural-Fallow/Idle Cropland,Ag - Fallow Cropland,97808513
,,,67,Agricultural-Pasture and Hayland,Ag - Pasture,518739291
,,,68,Agricultural-Wheat,Ag - Wheat,236796230
,,,69,Agricultual-Aquaculture,Ag - Aquaculture,669955
1,,082 Agriculture-Cultivated Crops and Irrigated Agriculture,82,082 Agriculture-Cultivated Crops and Irrigated Agriculture,Ag - Irrigated Crop,
438,,201 Unclassified Forest and Woodland,201,201 Unclassified Forest and Woodland,Unclass - Forest,
65,,202 Unclassified Shrubland,202,202 Unclassified Shrubland,Unclass - Shrubland,
44,,203 Unclassified Upland Herbaceous,203,203 Unclassified Upland Herbaceous,Unclass - Upland Herbaceous,
31,,204 Unclassified Savanna,204,204 Unclassified Savanna,Unclass - Savanna,
16,,205 Unclassified Shrub-Steppe,205,205 Unclassified Shrub-Steppe,Unclass - Shrubland,
14,,206 Unclassified Grassland,206,206 Unclassified Grassland,Unclass - Grassland,
17,,207 Unclassified Wetland-Riparian Herbaceous,207,207 Unclassified Wetland-Riparian Herbaceous,Unclass - Riparian,
48,,"601 ""Alpine Dwarf-Shrubland  Fell-field and Meadow""",601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",Alpine Shrubland,26669747
135,,"602 ""Aspen Forest  Woodland  and Parkland""",602,"Aspen Forest, Woodland, and Parkland",Aspen Forest,36543317
104,,603 Aspen-Mixed Conifer Forest and Woodland,603,Aspen-Mixed Conifer Forest and Woodland,Aspen-Mixed Conifer Forest,22273666
152,,604 Big Sagebrush Shrubland and Steppe,604,Big Sagebrush Shrubland and Steppe,Big Sage Shrubland,476286882
,,,605,Bigtooth Maple Woodland,Bigtooth Maple Woodland,2880782
