PLOT_ID,SUBPLOT_ID,x,y,Fuelbed_nu,Fuelbed_Na,Depth_shru,Depth_nonW,Depth_wood,Depth_LLM,Depth_surf,Depth_lowF,Tree_overs,Tree_midst,Tree_under,Tree_bole_,Tree_above,Snag_cla_2,Snag_cla_3,Snag_cla_4,LadderFuel,Shrub_prim,Shrub_seco,Shrub_need,Nonwoody_p,Nonwoody_s,Woody_soun,Woody_so_1,Woody_so_2,Woody_so_3,Woody_so_4,Woody_so_5,Woody_rott,Woody_ro_1,Woody_ro_2,LLM_litter,GroundFuel,GroundFu_1,GroundFu_2,FCCS,EVT,MODIS Enhanced,SRS Group,EVG_GP,EVG_PHYS,EVG_GP_N,SAF/SRM
577,0,452404.9002,3678259.437,787,Pine forest 5-20 years,45.72,60.96,0.508000041,0.25400002,5.542561838,5.100830134,2.904271055,3.639461987,0.094738612,60.36560223,67.00406962,0,0,0,0.672510693,0.686689012,0,2.241702311,0.336255347,0,0.156919162,0.448340462,0.515591532,4.998996154,0.089668099,0,0,1.008766085,0.784595854,0.448340462,0,0,0,602,3182,1044,Slash  pine,11,Non-vegetated,Open Water,LF 11: Water
599,0,440338.2656,3679080.503,808,Pine forest 21-40 years,42.672,27.432,2.540000081,1.270000041,8.596416742,0.756410486,5.011238091,3.003890512,8.38114748,55.32081931,66.21312082,0,0,0,0.672510693,1.701447661,0,2.241702311,0.224170231,0,0.246587277,3.13838346,4.707575078,0,0.112085116,0,6.904443568,0.112085116,0,2.241702311,0,10.28941361,0.001654376,602,3191,898,Loblolly  pine,11,Non-vegetated,Open Water,LF 11: Water
303,0,441935.014,3672634.766,421,Pine forest 21-40 years,33.528,24.384,3.556000102,1.016000051,6.20443321,0.706510794,8.743619984,11.22072659,5.523448015,187.0613825,210.7713074,41.97545434,0,0,0.672510693,1.043110175,0,2.241702311,0.067251072,0,0.381089393,5.806009435,10.44633344,0,0.112085116,0,5.155915765,0.112085116,0,1.793361849,8.966809246,10.28941361,0.003519863,602,3195,1044,Loblolly  pine,11,Non-vegetated,Open Water,LF 11: Water
304,0,442762.6123,3672638.425,424,Pine forest 21-40 years,36.576,24.384,2.286,1.016000051,21.90612657,0.497586,5.231891764,8.758635802,2.357931886,101.006226,115.3440172,0,0,0,0.672510693,2.801532045,0,2.241702311,0.044834048,0,0.246587277,3.13838346,5.738758366,0,0.112085116,0,0,0.112085116,0,1.793361849,5.380085547,10.28941361,0.001811295,602,3195,1043,Loblolly  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
433,4,435098.8528,3675856.831,579,Pine forest 41-60 years,30.48,24.384,7.366000102,2.286,4.627300169,1.453705195,8.25579597,3.936729199,2.952687117,142.1810003,156.4786673,0,3.144560471,0,0.672510693,0.679288929,0,2.241702311,0.044834048,0,0.381089393,5.357668524,9.392732685,32.34776435,0.448340462,0,1.255353294,1.793361849,0,4.035064385,14.34689479,10.65257006,0.003796016,602,3195,1044,Slash  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
599,8,440125.0585,3679068.07,809,Pine forest 41-60 years,79.248,0,5.841999797,2.032000102,3.190175179,1.168399898,16.40631756,17.04620611,7.586515121,156.0443823,193.0890174,0,0,0,0.672510693,0.418597578,0,2.241702311,0,0,0.403506416,5.806009435,10.44633344,0,0.448340462,0,2.353787651,1.793361849,0,3.586723698,17.93361849,10.65257006,0.003417231,602,3195,1041,Slash  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
617,2,441927.4856,3680276.778,828,Pine forest 41-60 years,36.576,24.384,7.111999898,3.30200002,19.24414693,1.396900442,6.053605455,17.05296058,4.907076496,82.28197476,106.8479834,0,0,0,0.672510693,2.500621618,0,2.241702311,0.022417025,0,0.201753208,2.376204674,2.600374905,0,0.448340462,0,0,1.793361849,0,5.828426234,17.93361849,10.65257006,0.003243858,602,3195,1044,Loblolly  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
671,0,442737.398,3680679.329,895,Pine forest 41-60 years,39.624,15.24,4.064000203,3.048000305,6.176247134,0.801188654,12.18242473,14.86042172,3.030288126,145.1634283,173.212437,0,0,0,0.672510693,0.727508752,0,2.241702311,0.044834048,0,0.381089393,5.357668524,6.27676692,1.322604431,0.448340462,0,1.345021387,1.793361849,0,5.380085547,3.586723698,10.65257006,0.003362634,602,3195,1044,Loblolly  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
809,0,445988.3056,3683886.456,1045,Pine forest 5-20 years,57.912,39.624,4.825999898,3.556000102,13.24499469,0.980615209,10.11334896,5.247843045,1.554128948,123.614751,139.5557427,0,0,0,0.672510693,1.910181552,0,2.241702311,0.067251072,0,0.246587277,1.345021387,2.600374905,0,0.089668099,0,0,1.008766085,0.784595854,6.27676692,8.966809246,0,0,602,3195,1043,Loblolly  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
237,1,441017.131,3671121.74,320,Hardwood forest 5-20   years,173.736,57.912,1.77800002,1.77800002,14.8183793,3.54624132,5.33642436,11.51628025,3.216635684,18.35360366,35.69011784,0,0,0,0.672510693,1.827741717,0,2.241702311,0.381089393,0,0.224170231,3.13838346,8.361550294,0,0,0,0.470757508,0,0,3.13838346,0.448340462,2.01753217,0,900,3292,1044,Hardwoods,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
