east_ae,north_ae,subplot_id,year,network,site,plot,subplot,EVG,EVG_Na,EVG_Phys,SAFSRM,soil_depth,tree_live_ttl_bio,tree_fol_bio,tree_live_1hr_bio,tree_live_10hr_bio,tree_live_100hr_bio,tree_live_1000hr_bio,tree_dead_1hr_bio,tree_dead_10hr_bio,shrub_bio_ttl,shrub_1hr,shrub_10hr,dwd_fuel_10h,dwd_fuel_100h,,dwd_fuel_1000h_s,,dwd_fuel_1000h_r,,tree_ltr_ld,tree_duff_ld,tree_ltr_depth,tree_duff_depth,herb_fuel_live_wd,herb_fuel_dead_wd,ispace_litter_load_wd,herb_fuel_stand_wd,herb_fuel_live_ss,herb_fuel_dead_ss,ispace_litter_load_ss,herb_fuel_stand_ss
-1896415.55545000000,1036995.13827000000,WJ-BC-BC005,6,WJ,BC,burn,5,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,90,18.714,0,6.06,3.063,3.489,6.102,0.807,0.46,0,0,0,0.43,441,0.441,0,0,0,0,0.679,2.497,1.4,1.7,0.283,0.115,0.376,NA,0.53,0.215,0.705,NA
-1896269.85700000000,1036960.16155000000,WJ-BC-BC007,6,WJ,BC,burn,7,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,90,7.453,0,2.811,1.4,1.189,2.053,0.21,0.12,0,0,0,0.97,1434,1.434,0,0,0,0,0.348,2.158,1.8,3,0.757,0.387,0.064,NA,1.42,0.725,0.12,NA
-1896269.85700000000,1036960.16155000000,WJ-BC-BC007,7,WJ,BC,burn,7,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.277,110,0.11,0,0,0,0,NA,NA,0.2,0,0.173,0.003,0.624,NA,0.325,0.005,1.17,NA
-1896269.85700000000,1036960.16155000000,WJ-BC-BC007,8,WJ,BC,burn,7,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.499,441,0.441,0,0,0,0,NA,NA,NA,NA,1.011,0.125,0.813,NA,1.895,0.235,1.525,NA
-1896269.85700000000,1036960.16155000000,WJ-BC-BC007,9,WJ,BC,burn,7,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.499,441,0.441,0,0,0,0,NA,NA,NA,NA,0.747,0.389,0.184,NA,1.4,0.73,0.345,NA
-1896269.85700000000,1036960.16155000000,WJ-BC-BC007,12,WJ,BC,burn,7,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.388,331,0.331,329,0.329,0,0,NA,NA,NA,NA,0.725,1.974,0.277,NA,1.36,3.7,0.52,NA
-1896269.85700000000,1036960.16155000000,WJ-BC-BC007,16,WJ,BC,burn,7,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,2.841,0,0.984,0.495,0.463,0.899,0.089,0.051,0,0,0,3.368,1654,1.654,1194,1.194,0,0,NA,NA,NA,NA,0.445,1.427,0.395,NA,0.835,2.675,0.74,NA
-1896191.59996000000,1036901.33601000000,WJ-BC-BC008,6,WJ,BC,burn,8,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,5.985,0,1.971,0.994,1.106,1.914,0.252,0.144,0,0,0,0.651,2206,2.206,0,0,0,0,0.628,1.966,1.8,3.9,0.581,0.384,0.008,NA,1.09,0.72,0.015,NA
-1896191.59996000000,1036901.33601000000,WJ-BC-BC008,7,WJ,BC,burn,8,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.125,0,0,0,0,0,0,0.165,0.146,0.6,2.8,0.248,0.016,1.819,NA,0.465,0.03,3.41,NA
-1896191.59996000000,1036901.33601000000,WJ-BC-BC008,8,WJ,BC,burn,8,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.166,110,0.11,0,0,0,0,NA,NA,NA,NA,0.976,0.019,0.035,NA,1.83,0.035,0.065,NA
-1896191.59996000000,1036901.33601000000,WJ-BC-BC008,9,WJ,BC,burn,8,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.069,110,0.11,0,0,0,0,NA,NA,NA,NA,0.755,0.141,0.157,NA,1.415,0.265,0.295,NA
-1896191.59996000000,1036901.33601000000,WJ-BC-BC008,11,WJ,BC,burn,8,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,0.627,2.088,0.168,NA,1.175,3.915,0.315,NA
-1896191.59996000000,1036901.33601000000,WJ-BC-BC008,12,WJ,BC,burn,8,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.014,0,0,0,0,0,0,NA,NA,NA,NA,0.323,0.363,0.221,NA,0.605,0.68,0.415,NA
-1896191.59996000000,1036901.33601000000,WJ-BC-BC008,13,WJ,BC,burn,8,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,1.011,0.643,0.432,NA,1.895,1.205,0.81,NA
-1896191.59996000000,1036901.33601000000,WJ-BC-BC008,14,WJ,BC,burn,8,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,1.64,0.443,0.531,NA,3.075,0.83,0.995,NA
-1896191.59996000000,1036901.33601000000,WJ-BC-BC008,16,WJ,BC,burn,8,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,0.061,0,0.042,0.02,0.008,-0.009,0,0,0,0,0,0.083,0,0,0,0,0,0,NA,NA,NA,NA,0.997,0.408,0.184,NA,1.87,0.765,0.345,NA
-1896191.59996000000,1036901.33601000000,WJ-BC-BC008,17,WJ,BC,burn,8,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,NA,NA,0.307,1.699,NA,NA,0.575,3.185
-1896608.48834000000,1037116.30300000000,WJ-BC-BC010,6,WJ,BC,burn,10,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,28.949,0,10.128,5.083,5.057,8.681,1.052,0.6,0,0,0,0.249,110,0.11,266,0.266,0,0,2.179,4.871,0.8,1.8,0.035,0.035,0.875,NA,0.065,0.065,1.64,NA
-1896608.48834000000,1037116.30300000000,WJ-BC-BC010,7,WJ,BC,burn,10,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.277,1875,1.875,7618,7.618,2622,2.622,1.853,NA,0.6,0,0.04,0.019,0.803,NA,0.075,0.035,1.505,NA
-1896608.48834000000,1037116.30300000000,WJ-BC-BC010,8,WJ,BC,burn,10,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.263,2426,2.426,13367,13.367,0,0,NA,NA,NA,NA,0.413,0.021,1.165,NA,0.775,0.04,2.185,NA
