"","evt","dataobs","cover","us_loading..Mg.ha","ms_loading..Mg.ha","os_loading..Mg.ha","tree_crown_loading..Mg.ha","tree_loading..Mg.ha","snag_loading..Mg.ha","shrub_loading..Mg.ha","herb_percentlive.","herb_loading..Mg.ha","X1hr_loading..Mg.ha","X10hr_loading..Mg.ha","X100hr_loading..Mg.ha","fwd_loading..Mg.ha","X1KhrS_loading..Mg.ha","X1KhrR_loading..Mg.ha","X1Khr_loading..Mg.ha","X10KhrS_loading..Mg.ha","X10KhrR_loading..Mg.ha","X10Khr_loading..Mg.ha","GT10KhrS_loading..Mg.ha","GT10KhrR_loading..Mg.ha","cwd_sound_loading..Mg.ha","cwd_rotten_loading..Mg.ha","cwd_loading..Mg.ha","moss_loading..Mg.ha","lichen_loading..Mg.ha","litter_depth..cm","litter_loading..Mg.ha","duff_depth..cm","duff_loading..Mg.ha","NA","coverProp"
"1",700,529,107114864,0,0,0,0,0,0,2,189,281,282,306,306,280,301,301,1,301,301,0,301,301,311,311,312,0,0,278,280,278,279,0.0119298170822252,0.0119298170822252
"2",629,190,10899278,0,0,0,0,125,125,147,5,153,159,164,164,13,36,36,1,18,18,0,18,18,18,18,142,0,0,13,136,13,135,0.0012138968207841,0.0012138968207841
"3",602,209,36543317,2,2,2,2,41,43,63,14,98,125,133,133,44,30,30,16,30,30,0,28,28,52,52,98,2,2,5,82,7,67,0.00406997750926305,0.00406997750926305
"4",605,16,2880782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000320844381726208,0.000320844381726208
"5",659,71,3664919,0,0,0,0,71,71,71,0,71,69,69,69,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,71,0,71,0.000408176901491203,0.000408176901491203
"6",626,464,22531260,0,0,0,5,173,173,175,6,188,283,400,399,48,173,162,56,143,143,29,143,143,193,164,319,0,0,35,265,58,257,0.00250939785940499,0.00250939785940499
"7",634,16,8188918,0,0,0,0,16,16,16,0,16,15,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,15,0.000912033028780593,0.000912033028780593
"8",630,725,186758992,14,14,14,14,471,483,501,89,619,646,646,646,156,99,99,0,76,76,0,76,76,151,151,621,0,0,48,535,48,531,0.0208001068182354,0.0208001068182354
"9",620,619,10548586,4,4,4,0,549,553,557,0,572,564,604,604,3,51,51,2,47,47,0,42,42,42,42,596,5,0,1,554,3,549,0.00117483882961492,0.00117483882961492
"10",643,1098,69168428,0,0,0,4,107,107,126,8,263,482,1033,1033,199,735,735,51,727,727,20,727,727,885,865,869,0,0,105,253,134,240,0.00770356851599105,0.00770356851599105
"11",621,40,3764371,0,0,0,0,8,8,8,14,26,34,34,34,22,8,8,0,7,7,0,7,7,21,21,29,0,0,12,17,12,17,0.000419253274313387,0.000419253274313387
"12",645,368,7415846,0,0,0,3,104,106,107,0,112,131,251,251,0,128,128,21,122,122,0,122,122,232,232,336,3,3,5,108,21,108,0.000825932862968031,0.000825932862968031
"13",696,142,53997938,0,0,0,0,130,130,134,1,135,139,139,139,8,8,8,1,8,8,0,8,8,8,8,140,0,0,2,133,2,132,0.00601396948193237,0.00601396948193237
"14",610,193,26566963,0,0,0,0,123,123,140,3,144,165,183,183,24,46,46,0,42,42,0,42,42,42,42,165,0,0,17,155,20,143,0.00295887047963992,0.00295887047963992
"15",625,922,85744097,0,0,0,0,94,94,120,14,143,511,852,852,275,622,622,44,619,619,0,619,619,711,711,728,0,0,44,146,88,196,0.00954966803758042,0.00954966803758042
"16",631,1398,100852377,0,0,0,24,295,305,329,13,508,751,1328,1328,96,683,683,128,655,655,41,655,655,908,865,969,1,1,197,548,260,511,0.0112323384914872,0.0112323384914872
"17",633,170,11714373,0,0,0,0,10,10,10,11,46,62,104,104,34,43,43,17,42,42,15,42,42,152,137,147,0,0,1,38,7,14,0.00130467725863852,0.00130467725863852
"18",640,351,21470966,0,0,0,0,79,79,87,1,87,166,272,272,86,183,183,0,181,181,0,181,181,195,195,276,0,0,4,84,4,83,0.00239130861388832,0.00239130861388832
"19",607,275,61061444,0,0,0,0,0,0,17,26,42,50,62,62,43,54,54,2,51,51,0,51,51,58,58,60,0,0,31,39,57,57,0.00680066080928354,0.00680066080928354
"20",614,3197,73603927,0,0,0,9,210,203,1521,4,1732,818,941,941,230,383,367,65,354,354,13,354,354,642,642,1765,0,0,1442,1663,1484,1743,0.00819756803914213,0.00819756803914213
"21",638,130,7606984,0,0,0,1,38,39,40,0,40,41,83,83,0,43,43,1,42,42,1,42,42,89,88,127,1,1,0,38,2,38,0.000847220677677504,0.000847220677677504
"22",615,1438,54508244,0,0,0,0,152,148,176,0,176,256,1114,1115,2,870,868,94,870,868,89,868,868,1235,1179,1329,1,1,21,166,65,165,0.00607080433200474,0.00607080433200474
"23",627,348,6118314,0,0,0,3,52,55,56,0,60,66,226,226,2,163,163,6,160,160,1,160,160,283,282,333,4,4,3,58,10,56,0.000681421458665321,0.000681421458665321
"24",642,1118,19558041,0,0,0,0,41,41,49,0,61,69,901,901,2,833,833,12,833,833,4,833,833,1061,1061,1084,0,0,21,61,25,61,0.00217825839387389,0.00217825839387389
"25",639,1090,75965510,5,5,5,0,138,143,360,26,517,812,930,930,273,305,305,42,293,293,0,293,293,781,781,625,5,4,368,520,411,539,0.00846058712129764,0.00846058712129764
"26",622,1905,33526665,0,0,0,9,158,160,760,7,904,651,847,847,298,293,292,10,248,248,10,248,248,659,649,1245,2,2,744,884,747,876,0.00373400073426823,0.00373400073426823
"27",603,174,22273666,0,0,0,0,57,57,57,3,70,104,105,105,32,16,16,10,10,10,0,10,10,32,32,89,0,0,6,84,6,79,0.00248070857029309,0.00248070857029309
"28",628,92,9586821,0,0,0,0,31,31,33,28,67,69,69,69,38,7,7,0,7,7,0,7,7,38,38,71,0,0,3,35,3,35,0.00106772315866484,0.00106772315866484
"29",632,90,11042572,0,0,0,0,25,25,26,0,27,40,78,78,0,39,39,11,38,38,12,38,38,63,51,76,0,0,1,27,14,27,0.00122985605505975,0.00122985605505975
"30",623,89,78437005,0,0,0,0,0,0,9,38,49,45,45,43,41,27,27,0,24,24,0,24,24,40,40,44,0,0,28,28,28,28,0.00873584754892264,0.00873584754892264
"31",613,374,220296270,0,0,0,0,11,11,106,120,283,193,193,193,146,146,146,0,146,146,0,146,146,181,181,251,0,0,271,282,271,282,0.0245352895653818,0.0245352895653818
"32",636,107,107492406,0,0,0,0,0,0,1,45,58,56,56,55,55,40,40,0,40,40,0,40,40,55,55,55,0,0,40,42,40,40,0.0119718654668533,0.0119718654668533
"33",601,146,26669747,0,0,0,0,0,0,2,7,11,25,39,39,19,30,30,0,30,30,0,30,30,48,48,45,1,1,10,8,10,11,0.00297031795082356,0.00297031795082356
"34",611,232,103514067,0,0,0,0,0,0,3,103,132,132,132,132,132,132,132,0,132,132,0,132,132,132,132,132,0,0,132,132,132,132,0.0115287817080849,0.0115287817080849
"35",641,12,8511188,0,0,0,0,0,0,0,9,12,12,12,12,12,12,12,0,12,12,0,12,12,12,12,12,0,0,12,12,12,12,0.00094792554647159,0.00094792554647159
"36",606,5,21373482,0,0,0,0,0,0,5,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0.0023804514252124,0.0023804514252124
"37",604,4529,476286882,0,0,0,0,0,0,1855,232,2165,310,343,335,301,283,283,1,278,278,0,277,277,303,303,1973,1,1,1923,1940,1923,1931,0.0530460028490852,0.0530460028490852
"38",612,156,42189235,0,0,0,0,0,0,20,7,29,70,86,86,53,74,74,0,65,65,0,65,65,87,87,91,0,0,16,17,16,23,0.00469878630839706,0.00469878630839706
"39",609,19,6434229,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0.000716606194217347,0.000716606194217347
"40",637,18,55600988,0,0,0,0,2,2,3,8,12,12,12,12,9,9,9,0,9,9,0,9,9,9,9,12,0,0,9,12,9,12,0.00619250766570546,0.00619250766570546
"41",624,1325,134950038,0,0,0,0,1237,1237,1309,11,1322,1321,1321,1321,14,13,13,0,13,13,0,13,13,13,13,1322,0,0,13,1317,13,1317,0.0150299333674114,0.0150299333674114
"42",618,109,79137690,0,0,0,0,0,0,0,46,62,56,65,65,55,65,65,0,65,65,0,63,63,64,64,64,0,0,49,61,49,49,0.00881388568079441,0.00881388568079441
"43",617,640,144394719,0,0,0,0,0,0,316,76,447,147,165,165,104,123,123,0,121,121,0,121,121,167,167,415,0,0,393,393,393,406,0.0160818258174636,0.0160818258174636
"44",646,136,337757552,0,0,0,0,0,0,10,67,113,67,67,67,67,67,67,0,67,67,0,67,67,67,67,67,0,4,67,70,67,67,0.037617429206652,0.037617429206652
"45",616,3,2464953,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000274531818537175,0.000274531818537175
"46",647,26,99594338,0,0,0,0,0,0,0,2,24,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,0,0,2,10,2,2,0.0110922255828594,0.0110922255828594
