"loadingNames","normal","logNormal","gamma","weibull"
"X100hr_loading_Mgha",0,2,39,8
"X10hr_loading_Mgha",0,2,37,14
"X10Khr_loading_Mgha",0,0,0,0
"X10KhrR_loading_Mgha",0,13,0,0
"X10KhrS_loading_Mgha",0,5,8,0
"X1hr_loading_Mgha",0,30,11,10
"X1Khr_loading_Mgha",0,0,1,1
"X1KhrR_loading_Mgha",0,11,3,0
"X1KhrS_loading_Mgha",0,0,13,0
"cwd_loading_Mgha",0,14,26,4
"cwd_rotten_loading_Mgha",0,7,10,0
"cwd_sound_loading_Mgha",0,2,14,1
"duff_depth_",0,0,3,4
"duff_loading_Mgha",0,3,24,9
"fwd_loading_Mgha",0,1,2,3
"GT10KhrR_loading_Mgha",0,13,0,0
"GT10KhrS_loading_Mgha",0,11,2,0
"herb_loading_Mgha",2,6,16,19
"herb_percentlive_",0,0,0,0
"lichen_loading_Mgha",0,0,0,0
"litter_depth_",0,1,4,0
"litter_loading_Mgha",2,8,14,22
"moss_loading_Mgha",0,0,0,0
"ms_loading_Mgha",0,0,0,0
"os_loading_Mgha",0,0,0,0
"shrub_loading_Mgha",1,0,22,19
"snag_loading_Mgha",0,15,15,5
"tree_crown_loading_Mgha",0,0,0,0
"tree_loading_Mgha",1,0,10,29
"us_loading_Mgha",0,0,0,0
