"loadingNames","normal","logNormal","gamma","weibull"
"X100hr_loading_Mgha",0,30,7,0
"X10hr_loading_Mgha",0,32,14,3
"X10Khr_loading_Mgha",0,0,0,0
"X10KhrR_loading_Mgha",0,7,0,0
"X10KhrS_loading_Mgha",0,9,2,0
"X1hr_loading_Mgha",0,29,10,9
"X1Khr_loading_Mgha",0,0,1,1
"X1KhrR_loading_Mgha",0,7,2,0
"X1KhrS_loading_Mgha",0,8,5,1
"cwd_loading_Mgha",0,21,9,12
"cwd_rotten_loading_Mgha",0,4,3,8
"cwd_sound_loading_Mgha",0,9,1,6
"duff_depth_",0,1,3,2
"duff_loading_Mgha",0,16,9,15
"fwd_loading_Mgha",0,1,4,3
"GT10KhrR_loading_Mgha",0,2,0,0
"GT10KhrS_loading_Mgha",0,3,0,0
"herb_loading_Mgha",2,1,12,28
"herb_percentlive_",0,0,0,0
"lichen_loading_Mgha",0,0,0,0
"litter_depth_",0,3,2,0
"litter_loading_Mgha",0,12,13,12
"moss_loading_Mgha",0,0,0,0
"ms_loading_Mgha",0,0,0,0
"os_loading_Mgha",0,0,0,0
"shrub_loading_Mgha",1,16,13,9
"snag_loading_Mgha",0,20,3,6
"tree_crown_loading_Mgha",0,0,0,0
"tree_loading_Mgha",0,0,12,30
"us_loading_Mgha",0,0,0,0
