"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha","gammaLL",541,0.011,1.267,0.07,0.055,0.07,0.005,0.068,0.003,0.014,NA
"tree_loading_Mgha","gammaLL",545,0.011,1.257,0.07,0.056,0.07,0.005,0.067,0.006,0.014,NA
"snag_loading_Mgha","lnormLL",118,0.785,0.419,0.099,0.236,1.067,0.071,0.066,0.219,0.014,"Good"
"shrub_loading_Mgha","gammaLL",497,0.106,2.808,0.172,0.061,2.16,0.144,0.067,0.012,0.005,NA
"herb_loading_Mgha","gammaLL",563,0.016,2.257,0.124,0.055,4.227,0.262,0.062,0,0.021,NA
"X1hr_loading_Mgha","lnormLL",440,0.209,-3.66,0.058,-0.016,1.2,0.04,0.034,0,0.014,NA
"X10hr_loading_Mgha","lnormLL",404,0.318,-1.008,0.045,-0.045,0.902,0.032,0.035,0,0.029,NA
"X100hr_loading_Mgha","lnormLL",254,0.578,0.513,0.053,0.103,0.835,0.037,0.045,0,0.025,NA
"fwd_loading_summed_Mgha","gammaLL",487,0.122,0.517,0.028,0.054,0.382,0.032,0.085,0.011,0.005,NA
"fwd_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fwd_loading_Mgha","gammaLL",487,0.122,0.517,0.028,0.053,0.382,0.032,0.083,0.011,0.005,NA
"X1000hrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_sound_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_rotten_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading_summedByPieceSizeClass_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading_summedBySR_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading_entered_Mgha","lnormLL",100,0.829,0.29,0.101,0.348,1.006,0.071,0.071,0.201,0.016,"Good"
"cwd_loading_Mgha","lnormLL",100,0.829,0.29,0.1,0.344,1.006,0.071,0.07,0.198,0.016,"Good"
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","lnormLL",535,0.016,0.287,0.044,0.152,1.015,0.031,0.031,0,0.018,NA
"duff_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha","lnormLL",276,0.483,0.576,0.079,0.138,1.303,0.055,0.043,0.009,0.015,NA
