"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","lnormLL",901,0.19,1.284,0.025,0.02,0.768,0.018,0.024,0,0.003
"X10hr_loading_Mgha","lnormLL",1032,0.076,0.059,0.024,0.414,0.779,0.017,0.022,0,0.006
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1hr_loading_Mgha","lnormLL",1011,0.037,-2.331,0.024,-0.01,0.777,0.017,0.022,0.001,0.004
"X1Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1KhrR_loading_Mgha","gammaLL",55,0.035,0.859,0.158,0.183,0.046,0.011,0.248,0.381,0.027
"X1KhrS_loading_Mgha","gammaLL",33,0.029,1.243,0.324,0.261,0.061,0.02,0.326,0.564,0.018
"cwd_loading_Mgha","lnormLL",735,0.248,1.439,0.042,0.029,1.143,0.03,0.026,0.001,0.01
"cwd_rotten_loading_Mgha","gammaLL",38,0,3.523,0.912,0.259,0.736,0.203,0.275,0.867,0.018
"cwd_sound_loading_Mgha","gammaLL",38,0,2.341,0.578,0.247,0.165,0.046,0.279,0.535,0.021
"duff_depth_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha","lnormLL",880,0.115,1.844,0.038,0.021,1.113,0.027,0.024,0,0.009
"fwd_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herb_loading_Mgha","gammaLL",920,0.092,0.993,0.041,0.041,2.374,0.125,0.053,0,0.009
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","gammaLL",1088,0.012,2.637,0.11,0.042,0.239,0.011,0.046,0,0.013
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","gammaLL",937,0.087,2.219,0.098,0.044,0.946,0.047,0.05,0,0.021
"snag_loading_Mgha","lnormLL",601,0.38,0.796,0.051,0.064,1.25,0.036,0.029,0.005,0.009
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",998,0.002,2.277,0.097,0.043,0.018,0.001,0.047,0,0.025
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
