"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","lnormLL",846,0.061,1.519,0.029,0.019,0.822,0.02,0.025,0,0.011
"X10hr_loading_Mgha","gammaLL",891,0.011,1.653,0.072,0.043,0.576,0.029,0.051,0,0.014
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha","lnormLL",260,0.688,2.654,0.054,0.02,0.846,0.037,0.044,0.12,0.005
"X10KhrS_loading_Mgha","gammaLL",635,0.238,1.763,0.093,0.053,0.058,0.003,0.06,0.183,0.008
"X1hr_loading_Mgha","lnormLL",68,0.014,-0.799,0.169,-0.211,1.382,0.119,0.086,0.347,0.02
"X1Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1KhrR_loading_Mgha","gammaLL",279,0.665,1.662,0.131,0.079,0.485,0.045,0.094,0.424,0.007
"X1KhrS_loading_Mgha","gammaLL",743,0.108,1.442,0.068,0.047,0.188,0.011,0.057,0.489,0.009
"cwd_loading_Mgha","gammaLL",1064,0.018,0.985,0.038,0.038,0.01,0.001,0.05,0.03,0.008
"cwd_rotten_loading_Mgha","gammaLL",556,0.476,0.795,0.026,0.033,62.634,3.483,0.056,0,0.021
"cwd_sound_loading_Mgha","gammaLL",931,0.123,0.881,0.023,0.026,62.33,2.425,0.039,0.205,0.008
"duff_depth_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha","gammaLL",61,0,1.459,0.158,0.108,59.145,5.545,0.094,0.109,0.013
"fwd_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha","lnormLL",154,0.815,3.487,0.06,0.017,0.747,0.043,0.057,0.002,0.029
"GT10KhrS_loading_Mgha","lnormLL",371,0.555,3.99,0.043,0.011,0.816,0.03,0.037,0,0.018
"herb_loading_Mgha","gammaLL",61,0,1.073,0.188,0.175,1.904,0.416,0.219,0.155,0.008
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","lnormLL",61,0,2.07,0.09,0.043,0.703,0.064,0.09,0.336,0.012
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","gammaLL",49,0,3.06,0.273,0.089,1.89,0.19,0.101,0,0.051
"snag_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",40,0.024,1.325,0.173,0.131,229.916,28.226,0.123,0.129,0.011
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
