"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","gammaLL",531,0.464,1.626,0.092,0.057,0.343,0.022,0.065,0,0.037
"X10hr_loading_Mgha","gammaLL",827,0.197,1.691,0.076,0.045,1.192,0.062,0.052,0,0.032
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1hr_loading_Mgha","gammaLL",906,0.087,1.37,0.059,0.043,10.704,0.55,0.051,0,0.03
"X1Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1KhrS_loading_Mgha","gammaLL",35,0.463,0.776,0.181,0.234,0.265,0.087,0.326,0.342,0.024
"cwd_loading_Mgha","lnormLL",327,0.64,1.087,0.069,0.063,1.269,0.049,0.039,0.144,0.005
"cwd_rotten_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_sound_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_depth_","gammaLL",49,0,8.795,1.967,0.224,2.205,0.507,0.23,0.185,0.048
"duff_loading_Mgha","lnormLL",838,0.146,1.919,0.039,0.02,1.113,0.028,0.025,0,0.032
"fwd_loading_Mgha","lnormLL",31,0,-0.041,0.132,-3.178,0.729,0.091,0.125,0.462,0.037
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herb_loading_Mgha","gammaLL",743,0.264,0.796,0.035,0.045,1.839,0.113,0.061,0,0.021
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_","gammaLL",51,0,3.105,0.645,0.208,0.824,0.189,0.23,0.231,0.034
"litter_loading_Mgha","gammaLL",1034,0.017,1.645,0.066,0.04,0.138,0.006,0.047,0,0.005
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","lnormLL",911,0.152,0.682,0.027,0.04,0.824,0.019,0.023,0,0.028
"snag_loading_Mgha","lnormLL",368,0.57,0.566,0.059,0.104,1.121,0.041,0.037,0.055,0.009
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",877,0.007,1.469,0.065,0.044,0.019,0.001,0.052,0,0.029
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
