"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha","gammaLL",184,0,2.24,0.223,0.1,0.017,0.002,0.113,0.001,0.029,NA
"tree_loading_Mgha","gammaLL",184,0,2.24,0.228,0.102,0.017,0.002,0.114,0.001,0.029,NA
"snag_loading_Mgha","gammaLL",124,0.315,0.825,0.094,0.115,0.116,0.018,0.154,0.215,0.016,"Good"
"shrub_loading_Mgha","lnormLL",163,0.092,0.606,0.051,0.085,0.644,0.036,0.055,0.031,0.007,NA
"herb_loading_Mgha","gammaLL",165,0.103,0.945,0.094,0.099,2.675,0.344,0.129,0.022,0.013,NA
"X1hr_loading_Mgha","gammaLL",172,0.037,2.274,0.236,0.104,21.59,2.504,0.116,0.044,0.019,NA
"X10hr_loading_Mgha","gammaLL",174,0.059,2.093,0.217,0.104,1.979,0.229,0.116,0.099,0.005,"Excellent"
"X100hr_loading_Mgha","lnormLL",167,0.101,1.064,0.054,0.051,0.711,0.039,0.054,0,0.005,NA
"fwd_loading_summed_Mgha","gammaLL",181,0.032,1.943,0.198,0.102,0.409,0.047,0.116,0.465,0.003,"Excellent"
"fwd_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fwd_loading_Mgha","gammaLL",181,0.032,1.943,0.196,0.101,0.409,0.047,0.115,0.45,0.003,"Excellent"
"X1000hrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_sound_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_rotten_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading_summedByPieceSizeClass_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading_summedBySR_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading_entered_Mgha","lnormLL",142,0.189,1.269,0.096,0.076,1.163,0.07,0.06,0.445,0.006,"Excellent"
"cwd_loading_Mgha","lnormLL",142,0.189,1.269,0.095,0.075,1.163,0.068,0.059,0.443,0.006,"Excellent"
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","gammaLL",195,0.015,1.848,0.179,0.097,0.154,0.017,0.11,0.002,0.023,NA
"duff_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha","lnormLL",173,0.065,1.795,0.084,0.047,1.11,0.06,0.054,0,0.031,NA
