RowID,CWD,Litter,Duff
655_Q1,245,124,47
655_Q2,419,183,201
655_Q3,699,264,640
655_Min,12,8,5
655_Max,2104,495,2977
655_FB266,443,49,270
655_FLM13,223,43,29
682_Q1,299,112,226
682_Q2,465,173,673
682_Q3,722,252,1241
682_Min,15,4,5
682_Max,3670,592,4336
682_FB110,469,52,303
682_FLM31,152,30,275
666_Q1,189,57,47
666_Q2,349,134,99
666_Q3,646,231,295
666_Min,11,0,5
666_Max,7310,1261,6744
666_FB129,319,11,19
666_FLM13,223,43,29
683_Q1,130,65,948
683_Q2,271,138,2143
683_Q3,388,229,3135
683_Min,19,0,47
683_Max,1387,756,9645
683_FB279,426,11,12352
683_FLM101,133,196,3630
631_Q1,248,67,149
631_Q2,458,122,411
631_Q3,706,234,800
631_Min,10,0,5
631_Max,17670,3779,4391
631_FB53,640,23,395
631_FLM31,126,30,275
625_Q1,378,88,241
625_Q2,696,142,553
625_Q3,1334,249,1110
625_Min,13,0,6
625_Max,13029,1011,4020
625_FB52,292,31,284
625_FLM21,78,16,93
