"EVT","fuelType","prop0","nGT0","mean","sd","CV"
655,"tree_loading_Mgha",0,159,128.12,65.23,0.51
655,"cwd_loading_Mgha",0.142,139,9.28,9.07,0.98
655,"duff_loading_Mgha",0.148,138,12.09,14.65,1.21
655,"litter_loading_Mgha",0.018,161,9.99,5.2,0.52
682,"tree_loading_Mgha",0,387,134.99,70.42,0.52
682,"cwd_loading_Mgha",0.056,370,10.71,11.28,1.05
682,"duff_loading_Mgha",0.045,378,23.35,20.95,0.9
682,"litter_loading_Mgha",0.005,400,9.6,5.08,0.53
666,"tree_loading_Mgha",0.003,1513,90.64,77.92,0.86
666,"cwd_loading_Mgha",0.474,813,10.17,16.62,1.63
666,"duff_loading_Mgha",0.23,1164,7.94,13.46,1.7
666,"litter_loading_Mgha",0.039,1453,8.28,6.82,0.82
683,"tree_loading_Mgha",0,68,75.23,44.38,0.59
683,"cwd_loading_Mgha",0.162,57,6.11,6.64,1.09
683,"duff_loading_Mgha",0.049,58,72.97,63.45,0.87
683,"litter_loading_Mgha",0.016,60,8.94,7.93,0.89
631,"tree_loading_Mgha",0.013,301,75.92,56.97,0.75
631,"cwd_loading_Mgha",0.211,946,15.89,21.87,1.38
631,"duff_loading_Mgha",0.044,475,15.78,16.95,1.07
631,"litter_loading_Mgha",0.003,578,10.39,14.63,1.41
625,"tree_loading_Mgha",0.043,90,133.96,114.51,0.85
625,"cwd_loading_Mgha",0.081,763,29.69,47.62,1.6
625,"duff_loading_Mgha",0.073,178,19.74,17.21,0.87
625,"litter_loading_Mgha",0.013,153,10.97,10.05,0.92
