"","os_loading","ms_loading","us_loading","tree_loading","snag_loading","shrub_loading","herb_loading","herb_percentlive","moss_loading","lichen_loading","litter_loading","litter_depth","duff_loading","duff_depth","X1hr_loading","X10hr_loading","X100hr_loading","fwd_loading","X1000hrS_loading","X1000hrR_loading","X1000hr_loading","X10000hrS_loading","X10000hrR_loading","X10000hr_loading","GT10000hrS_loading","GT10000hrR_loading","GT10000hr_loading","cwd_sound_loading","cwd_rotten_loading","cwd_loading"
"os_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"us_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading",NA,NA,NA,NA,0.428150029333371,-0.187750934179712,-0.0119257985553999,NA,NA,NA,0.0481961925072589,NA,0.14474895613119,NA,0.066362922470314,-0.0317961058593762,-0.227351229762684,-0.205479209265593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0511144023028743
"snag_loading",NA,NA,NA,NA,NA,-0.173521304390649,0.00536473411984672,NA,NA,NA,3.46457444306155e-06,NA,0.0493919765573323,NA,0.0307319966530831,-0.0505615803458778,-0.0797489579146281,-0.0789348036798565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120876783294761
"shrub_loading",NA,NA,NA,NA,NA,NA,0.198852021779762,NA,NA,NA,0.0263190372435794,NA,-0.306972652681448,NA,-0.345215405315967,-0.318577706802349,-0.14128362079207,-0.208300209253893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.277328191005593
"herb_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0407026630950137,NA,-0.274879519402984,NA,-0.261152724467408,-0.182113727298486,-0.153629571794712,-0.188022975444912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.186452733607118
"herb_percentlive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
