0,fueltype,dist.LL,tie,dist1.fit,dist2.fit,dist3.fit,dist4.fit
1,os_loading,NA,0,NA,NA,NA,NA
2,ms_loading,NA,0,NA,NA,NA,NA
3,us_loading,NA,0,NA,NA,NA,NA
4,tree_loading,-3441,0,gamma,weibull,logNormal,normal
5,snag_loading,-231,0,logNormal,weibull,gamma,normal
6,shrub_loading,-658,0,logNormal,gamma,weibull,normal
7,herb_loading,465,0,normal,weibull,gamma,logNormal
8,herb_percentlive,NA,0,NA,NA,NA,NA
9,moss_loading,NA,0,NA,NA,NA,NA
10,lichen_loading,NA,0,NA,NA,NA,NA
11,litter_loading,-999,0,logNormal,gamma,weibull,normal
12,litter_depth,NA,0,NA,NA,NA,NA
13,duff_loading,-175,0,logNormal,weibull,gamma,normal
14,duff_depth,NA,0,NA,NA,NA,NA
15,X1hr_loading,2009,0,logNormal,gamma,weibull,normal
16,X10hr_loading,382,0,logNormal,gamma,weibull,normal
17,X100hr_loading,-414,0,logNormal,gamma,weibull,normal
18,fwd_loading,-575,0,logNormal,weibull,gamma,normal
19,X1000hrS_loading,NA,0,NA,NA,NA,NA
20,X1000hrR_loading,NA,0,NA,NA,NA,NA
21,X1000hr_loading,NA,0,NA,NA,NA,NA
22,X10000hrS_loading,NA,0,NA,NA,NA,NA
23,X10000hrR_loading,NA,0,NA,NA,NA,NA
24,X10000hr_loading,NA,0,NA,NA,NA,NA
25,GT10000hrS_loading,NA,0,NA,NA,NA,NA
26,GT10000hrR_loading,NA,0,NA,NA,NA,NA
27,GT10000hr_loading,NA,0,NA,NA,NA,NA
28,cwd_sound_loading,NA,0,NA,NA,NA,NA
29,cwd_rotten_loading,NA,0,NA,NA,NA,NA
30,cwd_loading,-143,0,logNormal,gamma,weibull,normal
