"fueltype","dist.LL","tie","dist1.fit","dist2.fit","dist3.fit","dist4.fit"
"os_loading",NA,0,NA,NA,NA,NA
"ms_loading",NA,0,NA,NA,NA,NA
"us_loading",NA,0,NA,NA,NA,NA
"tree_loading",-7091,0,"weibull","gamma","logNormal","normal"
"snag_loading",-1372,0,"logNormal","weibull","gamma","normal"
"shrub_loading",-1429,0,"logNormal","gamma","weibull","normal"
"herb_loading",349,0,"weibull","gamma","normal","logNormal"
"herb_percentlive",NA,0,NA,NA,NA,NA
"moss_loading",NA,0,NA,NA,NA,NA
"lichen_loading",NA,0,NA,NA,NA,NA
"litter_loading",-3291,0,"gamma","weibull","logNormal","normal"
"litter_depth",NA,0,NA,NA,NA,NA
"duff_loading",-2453,0,"logNormal","weibull","gamma","normal"
"duff_depth",NA,0,NA,NA,NA,NA
"X1hr_loading",2471,0,"logNormal","gamma","weibull","normal"
"X10hr_loading",-654,0,"logNormal","gamma","weibull","normal"
"X100hr_loading",-1640,0,"logNormal","gamma","weibull","normal"
"fwd_loading",-2490,0,"gamma","weibull","logNormal","normal"
"X1000hrS_loading",NA,0,NA,NA,NA,NA
"X1000hrR_loading",NA,0,NA,NA,NA,NA
"X1000hr_loading",NA,0,NA,NA,NA,NA
"X10000hrS_loading",NA,0,NA,NA,NA,NA
"X10000hrR_loading",NA,0,NA,NA,NA,NA
"X10000hr_loading",NA,0,NA,NA,NA,NA
"GT10000hrS_loading",NA,0,NA,NA,NA,NA
"GT10000hrR_loading",NA,0,NA,NA,NA,NA
"GT10000hr_loading",NA,0,NA,NA,NA,NA
"cwd_sound_loading",NA,0,NA,NA,NA,NA
"cwd_rotten_loading",NA,0,NA,NA,NA,NA
"cwd_loading",-1951,0,"logNormal","weibull","gamma","normal"
