"fueltype","normLL","norm.mu","norm.sigma","lgnormLL","lnorm.mu","lnorm.sigma","gammaLL","gamma.shape","gamma.rate","weibullLL","weibull.shape","weibull.scale"
"os_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"us_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading",-5696,34.69,24.18,-5744,3.2,1.02,-5552,1.6,0.05,-5530,1.4,37.88
"snag_loading",-1525,1.74,3.4,-773,-0.3,1.24,-870,0.71,0.41,-845,0.76,1.41
"shrub_loading",-1535,1.21,0.98,-1114,-0.09,0.73,-1184,1.93,1.6,-1220,1.36,1.33
"herb_loading",261,0.17,0.18,676,-2.46,1.35,693,0.83,4.78,694,0.88,0.16
"herb_percentlive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading",-3321,5.27,3.71,-3224,1.38,0.86,-3109,1.92,0.37,-3103,1.48,5.82
"litter_depth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading",-3345,4.31,5.05,-2620,0.97,0.99,-2702,1.16,0.27,-2710,1.02,4.36
"duff_depth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1hr_loading",1312,0.06,0.08,2328,-3.23,0.82,2207,1.49,25.94,2169,1.11,0.06
"X10hr_loading",-871,0.58,0.57,-316,-0.85,0.77,-382,1.76,3.03,-420,1.25,0.63
"X100hr_loading",-1464,2.28,1.9,-1212,0.54,0.77,-1224,1.92,0.84,-1245,1.35,2.51
"fwd_loading",-2614,1.9,2.14,-2075,-0.15,1.59,-1934,0.75,0.4,-1939,0.84,1.75
"X1000hrS_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hrR_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10000hrS_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10000hrR_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10000hr_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10000hrS_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10000hrR_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10000hr_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_sound_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_rotten_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading",-1869,3.84,8.8,-1098,0.45,1.27,-1190,0.68,0.18,-1160,0.74,3
