"fueltype","tally"
"os_loading",59
"ms_loading",59
"us_loading",59
"tree_loading",13769
"snag_loading",13746
"shrub_loading",14306
"herb_loading",16366
"herb_percentlive",1460
"moss_loading",59
"lichen_loading",40
"litter_loading",16095
"litter_depth",1898
"duff_loading",15794
"duff_depth",2209
"X1hr_loading",17864
"X10hr_loading",22508
"X100hr_loading",22498
"fwd_loading",17835
"X1000hrS_loading",8003
"X1000hrR_loading",8002
"X1000hr_loading",8388
"X10000hrS_loading",7788
"X10000hrR_loading",7788
"X10000hr_loading",7792
"GT10000hrS_loading",7765
"GT10000hrR_loading",7765
"GT10000hr_loading",7765
"cwd_sound_loading",9188
"cwd_rotten_loading",9188
"cwd_loading",23101
