"fueltypes","lower.q","upper.q","min","max"
"os_loading",NA,NA,NA,NA
"ms_loading",NA,NA,NA,NA
"us_loading",NA,NA,NA,NA
"tree_loading",8.714,181.632,0,443.41
"snag_loading",0,27.407,0,236.78
"shrub_loading",0.414,2.764,0,4.57
"herb_loading",0.036,0.49,0,0.85
"herb_percentlive",NA,NA,NA,NA
"moss_loading",NA,NA,NA,NA
"lichen_loading",NA,NA,NA,NA
"litter_loading",1.823,7.199,0.26,37.79
"litter_depth",NA,NA,NA,NA
"duff_loading",2.318,29.444,0.09,96.8
"duff_depth",NA,NA,NA,NA
"X1hr_loading",0.04,0.588,0,1.65
"X10hr_loading",0.27,2.6,0,8.93
"X100hr_loading",0.59,5.822,0,45.2
"fwd_loading",1.056,8.144,0,19.38
"X1000hrS_loading",0.187,7.873,0,34.37
"X1000hrR_loading",0,1.776,0,8.4
"X1000hr_loading",0.466,8.686,0,98.2
"X10000hrS_loading",0,23.026,0,73.13
"X10000hrR_loading",0,8.634,0,50.04
"X10000hr_loading",0,27.278,0,178.68
"GT10000hrS_loading",0,55.177,0,220.65
"GT10000hrR_loading",0,12.303,0,88.6
"GT10000hr_loading",0,63.675,0,220.65
"cwd_sound_loading",0,72.39,0,363.87
"cwd_rotten_loading",0,57.258,0,480.51
"cwd_loading",4.118,103.73,0,716.93
