"Var1","Freq"
12,2
21,2
22,1
31,13
82,1
201,438
202,65
203,44
204,31
205,16
206,14
207,17
601,48
602,135
603,104
604,152
606,5
607,77
609,3
610,187
611,3
612,93
613,53
614,982
615,1439
616,3
617,117
618,29
619,12
620,618
621,30
622,883
623,22
624,1310
625,894
626,467
627,348
628,69
629,161
630,618
631,1427
632,90
633,169
634,16
635,137
636,20
637,3
638,130
639,995
640,283
642,1118
643,1056
644,135
645,368
646,46
647,22
648,21
649,88
650,3
652,346
653,21
655,167
656,236
657,55
658,10
659,71
660,1161
661,276
662,355
663,203
664,51
665,229
666,1548
667,147
668,123
669,12
670,28
671,3
672,33
673,14
674,8
675,51
676,89
677,138
678,3
679,80
680,458
681,1
682,415
683,70
684,1085
685,146
686,82
687,26
688,1
689,126
690,138
691,49
692,11
693,305
694,236
695,85
696,141
697,1321
698,1
699,1
700,35
701,1
702,24
703,17
704,8
706,1
707,55
708,5
740,347
750,9
755,2
756,46
757,5
758,136
762,6
763,1
764,1
765,4
767,8
773,9
774,1
775,11
777,4
781,8
782,14
783,2
784,16
785,1
786,15
787,1
788,1
790,1
791,8
792,7
793,6
794,1
795,12
