"","EVT","sourceID","studyPoint","fuelType","data.val"
"1",610,18720,43,"litter_loading..Mg.ha",218.5201485
"2",615,48347,174,"X1Khr_loading..Mg.ha",5382.3217
"3",622,11,111,"duff_depth..cm",73.152
"4",623,33464,119,"X1hr_loading..Mg.ha",5.893178108
"5",625,1288,182,"shrub_loading..Mg.ha",25.4688
"6",625,31901,130,"GT10KhrR_loading..Mg.ha",147.616
"7",628,22914,43,"shrub_loading..Mg.ha",7.236507667
"8",631,1292,182,"shrub_loading..Mg.ha",44.1952
"9",638,48317,168,"X1hr_loading..Mg.ha",8.51846
"10",639,24534,131,"GT10KhrS_loading..Mg.ha",261.072
"11",643,27663,120,"litter_loading..Mg.ha",279.977544
"12",655,19245,43,"X100hr_loading..Mg.ha",174.1937912
"13",660,47448,27,"X1hr_loading..Mg.ha",9.42
"14",663,48543,105,"X1hr_loading..Mg.ha",2.46587
"15",665,47500,166,"X1hr_loading..Mg.ha",5.3
"16",677,49189,153,"cwd_rotten_loading..Mg.ha",7.96
"17",677,48753,82,"litter_depth..cm",21.1
"18",682,243,69,"X1hr_loading..Mg.ha",6.8992
"19",684,48711,26,"X1hr_loading..Mg.ha",33.47
"20",690,48801,218,"X1hr_loading..Mg.ha",10.03
"21",695,673,140,"X1hr_loading..Mg.ha",17.248
