"EVT","sourceID","studyPoint","fuelType"
31,628,33646,"cwd_loading..Mg.ha"
31,588,8018,"litter_depth..cm"
31,588,8018,"litter_loading..Mg.ha"
31,NA,NA,"duff_depth..cm"
31,NA,NA,"duff_loading..Mg.ha"
201,588,5044,"herb_loading..Mg.ha"
201,606,32165,"X1KhrS_loading..Mg.ha"
201,617,25164,"X10KhrS_loading..Mg.ha"
201,621,29356,"GT10KhrS_loading..Mg.ha"
201,612,24586,"GT10KhrR_loading..Mg.ha"
201,621,29356,"cwd_sound_loading..Mg.ha"
201,635,26507,"cwd_rotten_loading..Mg.ha"
201,635,26507,"cwd_loading..Mg.ha"
201,595,9521,"litter_depth..cm"
201,595,9521,"litter_loading..Mg.ha"
201,595,9521,"duff_depth..cm"
201,595,9521,"duff_loading..Mg.ha"
202,595,9535,"X1hr_loading..Mg.ha"
202,623,25518,"X10hr_loading..Mg.ha"
202,594,8693,"X100hr_loading..Mg.ha"
202,630,41434,"fwd_loading..Mg.ha"
202,614,28766,"cwd_sound_loading..Mg.ha"
202,614,28766,"cwd_loading..Mg.ha"
202,588,5559,"litter_depth..cm"
202,588,5559,"litter_loading..Mg.ha"
202,595,9535,"duff_depth..cm"
202,595,9535,"duff_loading..Mg.ha"
203,588,5005,"shrub_loading..Mg.ha"
203,588,6505,"herb_loading..Mg.ha"
203,630,33287,"X1hr_loading..Mg.ha"
203,627,27617,"X10hr_loading..Mg.ha"
203,612,24459,"X100hr_loading..Mg.ha"
203,627,27617,"fwd_loading..Mg.ha"
203,612,24654,"X1KhrS_loading..Mg.ha"
203,627,27617,"cwd_sound_loading..Mg.ha"
203,627,27617,"cwd_loading..Mg.ha"
203,588,6133,"litter_depth..cm"
203,588,6133,"litter_loading..Mg.ha"
204,606,32250,"X10KhrR_loading..Mg.ha"
205,605,39726,"fwd_loading..Mg.ha"
206,630,33996,"herb_loading..Mg.ha"
206,630,41927,"X1hr_loading..Mg.ha"
206,611,28677,"X10hr_loading..Mg.ha"
206,600,33430,"fwd_loading..Mg.ha"
206,630,41639,"litter_depth..cm"
206,600,33430,"litter_loading..Mg.ha"
207,588,6440,"shrub_loading..Mg.ha"
207,NA,NA,"duff_depth..cm"
207,NA,NA,"duff_loading..Mg.ha"
601,630,33984,"herb_loading..Mg.ha"
601,632,30448,"cwd_rotten_loading..Mg.ha"
601,632,30448,"cwd_loading..Mg.ha"
602,597,23291,"shrub_loading..Mg.ha"
602,628,33633,"herb_loading..Mg.ha"
602,677,47876,"X1hr_loading..Mg.ha"
602,677,47875,"X100hr_loading..Mg.ha"
602,606,31699,"X1KhrR_loading..Mg.ha"
602,624,29721,"cwd_sound_loading..Mg.ha"
602,600,33362,"cwd_rotten_loading..Mg.ha"
602,624,29721,"cwd_loading..Mg.ha"
602,597,11729,"duff_loading..Mg.ha"
603,597,22868,"snag_loading..Mg.ha"
603,680,48025,"X1hr_loading..Mg.ha"
603,680,48025,"X10hr_loading..Mg.ha"
603,700,48381,"X1KhrS_loading..Mg.ha"
603,700,48384,"X1KhrR_loading..Mg.ha"
603,628,33550,"cwd_sound_loading..Mg.ha"
603,628,33550,"cwd_loading..Mg.ha"
604,588,7513,"shrub_loading..Mg.ha"
604,713,47962,"X1hr_loading..Mg.ha"
604,586,9895,"X10hr_loading..Mg.ha"
604,586,9895,"X100hr_loading..Mg.ha"
604,630,41966,"fwd_loading..Mg.ha"
604,632,30311,"cwd_sound_loading..Mg.ha"
604,610,27954,"cwd_rotten_loading..Mg.ha"
604,632,30311,"cwd_loading..Mg.ha"
604,588,5530,"litter_depth..cm"
604,588,5530,"litter_loading..Mg.ha"
